ʻApelika	Afrique
Villahoz (Burgos)	Villahoz
Mecerreyes (Burgos)	Mecerreyes
Pardilla (Burgos)	Pardilla
Ledesma (Salamanca)	Ledesma (commune)
Hontoria del Pinar (Burgos)	Hontoria del Pinar
ʻAinaonao	Fourmilier
Benuza	Benuza
Celada del Camino	Celada del Camino
Castrillo Matajudíos	Castrillo Matajudíos
Villamanín	Villamanín
N. C. Wyeth	N. C. Wyeth
Mamo	Drépanide mamo
La Alberca	La Alberca
Redecilla del Camino (Burgos)	Redecilla del Camino
Lahaina	Lahaina
Kahului	Kahului
Rabé de las Calzadas (Burgos)	Rabé de las Calzadas
Villalbos	Villalbos
Kīhei	Kihei
Pelanekelina	Franklin (série télévisée)
Rello	Rello
Iglesias (Burgos)	Iglesias (Burgos)
Covarrubias	Covarrubias
Llano de Bureba (Burgos)	Llano de Bureba
Adrada de Haza (Burgos)	Adrada de Haza
Cerezo de Río Tirón	Cerezo de Río Tirón
Pele	Pélé
Lōʻihi	Lōʻihi
Aiga-i-le-Tai	Aiga-i-le-Tai
Kartlis Deda	Kartlis Deda
Bembibre	Bembibre
Wikipedia:Nohona kuhina	Wikipédia:Ambassade
Aloha ʻOe	Aloha ʻOe
Letícia Sabatella	Letícia Sabatella
Poʻe Hawaiʻi	Hawaïens de souche
Halemaʻumaʻu	Halemaʻumaʻu
Manuae	Manuae (Îles de la Société)
Holoikauaua	Atoll de Pearl et Hermes
Alfoz de Lloredo	Alfoz de Lloredo
Cármenes	Cármenes
Ampuero	Ampuero
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Briviesca (Burgos)	Briviesca
Iznalloz	Iznalloz
Māhele:Kelemānia	Catégorie:Allemagne
Māhele:ʻAmelika Hui Pū ʻia	Catégorie:États-Unis
Māhele:Sepania	Catégorie:Espagne
Māhele:Mekiko	Catégorie:Mexique
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Carucedo	Carucedo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Corrales	Los Corrales de Buelna
Anievas	Anievas
Anguix (Burgos)	Anguix
Arauzo de Miel (Burgos)	Arauzo de Miel
Arauzo de Salce (Burgos)	Arauzo de Salce
Brazacorta (Burgos)	Brazacorta
Aguilar de Bureba (Burgos)	Aguilar de Bureba
Bascuñana (Burgos)	Bascuñana
Altable (Burgos)	Altable
Barbadillo del Pez (Burgos)	Barbadillo del Pez
Bahabón de Esgueva (Burgos)	Bahabón de Esgueva
Alfoz de Quintanadueñas (Burgos)	Alfoz de Quintanadueñas
Barrios de Colina (Burgos)	Barrios de Colina
Berberana (Burgos)	Berberana
Berlangas de Roa (Burgos)	Berlangas de Roa
Aguas Cándidas (Burgos)	Aguas Cándidas
Belbimbre (Burgos)	Belbimbre
Montorio (Burgos)	Montorio
Māhele:Pōlani	Catégorie:Pologne
Māhele:Wiekanama	Catégorie:Viêt Nam
Māhele:Hōʻike honua	Catégorie:Géographie
Māhele:Akeakamai	Catégorie:Sciences
Waiʻaleʻale	Mont Waialeale
Care Bears	Bisounours
Hanauma	Baie de Hanauma
Guijuelo	Guijuelo
Vegas del Condado	Vegas del Condado
Borrenes	Borrenes
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Barjas	Barjas
Cistierna	Cistierna
Babilafuente	Babilafuente
Cereceda de la Sierra	Cereceda de la Sierra
Cardeñajimeno	Cardeñajimeno
Castil de Peones	Castil de Peones
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Villamañán	Villamañan
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Santibáñez del Val (Burgos)	Santibáñez del Val
Urdiales del Páramo	Urdiales del Páramo
Sena de Luna	Sena de Luna
Oña (Burgos)	Oña
Grisaleña (Burgos)	Grisaleña
Coruña del Conde	Coruña del Conde
Zazuar (Burgos)	Zazuar
Buniel (Burgos)	Buniel
Arauzo de Torre (Burgos)	Arauzo de Torre
Berzosa de Bureba (Burgos)	Berzosa de Bureba
Alfoz de Santa Gadea (Burgos)	Alfoz de Santa Gadea
Barbadillo de Herreros (Burgos)	Barbadillo de Herreros
Albillos (Burgos)	Albillos
Arenillas de Riopisuerga (Burgos)	Arenillas de Riopisuerga
Barbadillo del Mercado	Barbadillo del Mercado
Arlanzón (Burgos)	Arlanzón (Burgos)
Medina de Pomar (Burgos)	Medina de Pomar
Arandilla (Burgos)	Arandilla
Bozoó (Burgos)	Bozoó
Fuentelisendo (Burgos)	Fuentelisendo
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Alcocero de Mola (Burgos)	Alcocero de Mola
Valle de Mena (Burgos)	Valle de Mena
Zael (Burgos)	Zael
Ameyugo (Burgos)	Ameyugo
Lerma (Burgos)	Lerma (Castille-et-León)
Villaquejida	Villaquejida
Sariegos	Sariegos
Corbillos de los Oteros	Corbillos de los Oteros
Vega de Infanzones	Vega de Infanzones
Peranzanes	Peranzanes
Sabero	Sabero
Candín (León)	Candín
Valderrueda	Valderrueda
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
La Vecilla	La Vecilla
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Nava de Roa (Burgos)	Nava de Roa
Villasabariego	Villasabariego
Oencia	Oencia
Encinedo	Encinedo
Zuñeda (Burgos)	Zuñeda
Valdeande (Burgos)	Valdeande
Destriana	Destriana
Villagatón	Villagatón
Arija (Burgos)	Arija
Busto de Bureba (Burgos)	Busto de Bureba
Laguna Dalga	Laguna Dalga
Alaraz	Alaraz
Aldeadávila de la Ribera	Aldeadávila de la Ribera
Castellanos de Castro	Castellanos de Castro
Cascajares de la Sierra	Cascajares de la Sierra
Iglesiarrubia (Burgos)	Iglesiarrubia
Castrillo de la Vega	Castrillo de la Vega
Sasamón (Burgos)	Sasamón
Torrepadre (Burgos)	Torrepadre
Sotillo de la Ribera (Burgos)	Sotillo de la Ribera
Torrecilla del Monte (Burgos)	Torrecilla del Monte
Linares de Riofrío	Linares de Riofrío
Ahigal de Villarino	Ahigal de Villarino
Gumiel de Izán (Burgos)	Gumiel de Izán
Ahigal de los Aceiteros	Ahigal de los Aceiteros
Vizcaínos (Burgos)	Vizcaínos
Casillas de Flores	Casillas de Flores
Los Balbases (Burgos)	Los Balbases
Santibáñez de Esgueva (Burgos)	Santibáñez de Esgueva
San Martín de Rubiales (Burgos)	San Martín de Rubiales
Tórtoles de Esgueva (Burgos)	Tórtoles de Esgueva
Villaescusa de Roa (Burgos)	Villaescusa de Roa
Mamolar (Burgos)	Mamolar
Moradillo de Roa (Burgos)	Moradillo de Roa
Mambrilla de Castrejón (Burgos)	Mambrilla de Castrejón
Pedrosa de Duero (Burgos)	Pedrosa de Duero
Quintanilla del Coco (Burgos)	Quintanilla del Coco
Pinilla de los Moros (Burgos)	Pinilla de los Moros
Valle de Tobalina (Burgos)	Valle de Tobalina
Villanueva de Carazo (Burgos)	Villanueva de Carazo
Quemada (Burgos)	Quemada
Torresandino (Burgos)	Torresandino
Villalba de Duero (Burgos)	Villalba de Duero
Rubena (Burgos)	Rubena
Valluércanes (Burgos)	Valluércanes
Villadiego (Burgos)	Villadiego
Merindad de Río Ubierna (Burgos)	Merindad de Río Ubierna
Mazuela (Burgos)	Mazuela
Valle de Zamanzas (Burgos)	Valle de Zamanzas
Quintana del Pidio (Burgos)	Quintana del Pidio
Vadocondes (Burgos)	Vadocondes
Fuentelcésped (Burgos)	Fuentelcésped
Ciadoncha	Ciadoncha
Merindad de Montija (Burgos)	Merindad de Montija
Pancorbo (Burgos)	Pancorbo
Monterrubio de la Demanda (Burgos)	Monterrubio de la Demanda
Fuentespina (Burgos)	Fuentespina
Cillaperlata	Cillaperlata
Fontioso (Burgos)	Fontioso
La Sequera de Haza (Burgos)	La Sequera de Haza
La Horra (Burgos)	La Horra
Cilleruelo de Arriba	Cilleruelo de Arriba
Jurisdicción de San Zadornil (Burgos)	Jurisdicción de San Zadornil
Cuevas de San Clemente	Cuevas de San Clemente
Fuentemolinos (Burgos)	Fuentemolinos
Hontangas (Burgos)	Hontangas
Hoyales de Roa (Burgos)	Hoyales de Roa
Campolara	Campolara
Carrias	Carrias
Canicosa de la Sierra	Canicosa de la Sierra
Cabezón de la Sierra	Cabezón de la Sierra
Cabañes de Esgueva	Cabañes de Esgueva
Cardeñadijo	Cardeñadijo
Castrillo de Riopisuerga	Castrillo de Riopisuerga
Milagros (Burgos)	Milagros
La Puebla de Arganzón (Burgos)	La Puebla de Arganzón
Agallas	Agallas
Abusejo	Abusejo
Posada de Valdeón	Posada de Valdeón
Valderrey	Valderrey
Joarilla de las Matas	Joarilla de las Matas
Neila (Burgos)	Neila
Santiago Millas	Santiago Millas
Turcia	Turcia
Prioro	Prioro
Valdelugueros	Valdelugueros
Santas Martas	Santas Martas
Vegaquemada	Vegaquemada
Pobladura de Pelayo García	Pobladura de Pelayo García
Navas de Bureba (Burgos)	Navas de Bureba
Vegacervera	Vegacervera
San Adrián del Valle	San Adrián del Valle
Valdefuentes del Páramo	Valdefuentes del Páramo
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Campillo de Aranda	Campillo de Aranda
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
Carcedo de Bureba	Carcedo de Bureba
La Gallega (Burgos)	La Gallega
Cebrecos	Cebrecos
Villabraz	Villabraz
Villamejil	Villamejil
Villaornate y Castro	Villaornate y Castro
Valverde-Enrique	Valverde-Enrique
Villaobispo de Otero	Villaobispo de Otero
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamandos	Villamandos
Villamol	Villamol
Villaselán	Villaselán
Villamoratiel de las Matas	Villamoratiel de las Matas
Toral de los Guzmanes	Toral de los Guzmanes (León)
Castillejo de Martín Viejo	Castillejo de Martín Viejo
Fuenteguinaldo	Fuenteguinaldo
Tamames	Tamames
Encina de San Silvestre	Encina de San Silvestre
Carpio de Azaba	Carpio de Azaba
Las Casas del Conde	Las Casas del Conde
Cepeda (Salamanca)	Cepeda
El Tornadizo	El Tornadizo
Navamorales	Navamorales
El Cabaco	El Cabaco
Aldeanueva de la Sierra	Aldeanueva de la Sierra
Cespedosa de Tormes	Cespedosa de Tormes
Cilleros de la Bastida	Cilleros de la Bastida
Sotresgudo (Burgos)	Sotresgudo
Benavides	Benavides (León)
Tordómar (Burgos)	Tordómar
Torrelara (Burgos)	Torrelara
San Millán de Lara (Burgos)	San Millán de Lara
Sordillos (Burgos)	Sordillos
Santa María del Mercadillo (Burgos)	Santa María del Mercadillo
Santa Cruz de la Salceda (Burgos)	Santa Cruz de la Salceda
Santa Gadea del Cid (Burgos)	Santa Gadea del Cid
Tamarón (Burgos)	Tamarón
San Mamés de Burgos (Burgos)	San Mamés de Burgos
Santa María del Campo (Burgos)	Santa María del Campo
San Vicente del Valle (Burgos)	San Vicente del Valle
Sarracín (Burgos)	Sarracín
Salinillas de Bureba (Burgos)	Salinillas de Bureba
Villazopeque (Burgos)	Villazopeque
Vilviestre del Pinar (Burgos)	Vilviestre del Pinar
Saldaña de Burgos (Burgos)	Saldaña de Burgos
Tejada (Burgos)	Tejada
Tobar (Burgos)	Tobar
Santa Olalla de Bureba (Burgos)	Santa Olalla de Bureba
San Adrián de Juarros (Burgos)	San Adrián de Juarros
Santa María del Invierno (Burgos)	Santa María del Invierno
Tinieblas de la Sierra (Burgos)	Tinieblas de la Sierra
Villaquirán de la Puebla (Burgos)	Villaquirán de la Puebla
Villalbilla de Gumiel (Burgos)	Villalbilla de Gumiel
Villanueva de Gumiel (Burgos)	Villanueva de Gumiel
Villaverde del Monte (Burgos)	Villaverde del Monte
Villaescusa la Sombría (Burgos)	Villaescusa la Sombría
Villayerno Morquillas (Burgos)	Villayerno Morquillas
Villegas (Burgos)	Villegas (Burgos)
Vileña (Burgos)	Vileña
Rezmondo (Burgos)	Rezmondo
Villafruela (Burgos)	Villafruela
Villariezo (Burgos)	Villariezo
Villagalijo (Burgos)	Villagalijo
Rublacedo de Abajo (Burgos)	Rublacedo de Abajo
Villamayor de Treviño (Burgos)	Villamayor de Treviño
Royuela de Río Franco (Burgos)	Royuela de Río Franco
Retuerta (Burgos)	Retuerta
Villaldemiro (Burgos)	Villaldemiro
Villaverde-Mogina (Burgos)	Villaverde-Mogina
Revillarruz (Burgos)	Revillarruz
Villamayor de los Montes (Burgos)	Villamayor de los Montes
Villamedianilla (Burgos)	Villamedianilla
Villalmanzo (Burgos)	Villalmanzo
Villaespasa (Burgos)	Villaespasa
Valles de Palenzuela (Burgos)	Valles de Palenzuela
Quintanaélez (Burgos)	Quintanaélez
Vallejera (Burgos)	Vallejera
Vallarta de Bureba (Burgos)	Vallarta de Bureba
Redecilla del Campo (Burgos)	Redecilla del Campo
Quintanabureba (Burgos)	Quintanabureba
Quintanaortuño (Burgos)	Quintanaortuño
Quintanapalla (Burgos)	Quintanapalla
Valle de Losa (Burgos)	Valle de Losa
Regumiel de la Sierra (Burgos)	Regumiel de la Sierra
Quintanilla Vivar (Burgos)	Quintanilla Vivar
Poza de la Sal (Burgos)	Poza de la Sal
Quintanilla del Agua y Tordueles (Burgos)	Quintanilla del Agua y Tordueles
Quintanilla de la Mata (Burgos)	Quintanilla de la Mata
Fuentenebro (Burgos)	Fuentenebro
La Revilla y Ahedo (Burgos)	La Revilla y Ahedo
Hacinas (Burgos)	Hacinas
Prádanos de Bureba (Burgos)	Prádanos de Bureba
Fresno de Rodilla (Burgos)	Fresno de Rodilla
La Vid	La Vid y Barrios
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Hortigüela (Burgos)	Hortigüela
Villangómez (Burgos)	Villangómez
Madrigalejo del Monte (Burgos)	Madrigalejo del Monte
Mahamud (Burgos)	Mahamud
Presencio (Burgos)	Presencio
Cilleruelo de Abajo	Cilleruelo de Abajo
Madrigal del Monte (Burgos)	Madrigal del Monte
Manciles (Burgos)	Manciles
Fuentebureba (Burgos)	Fuentebureba
Padrones de Bureba (Burgos)	Padrones de Bureba
Melgar de Fernamental (Burgos)	Melgar de Fernamental
Ibrillos (Burgos)	Ibrillos
La Vid de Bureba (Burgos)	La Vid de Bureba
Palazuelos de la Sierra (Burgos)	Palazuelos de la Sierra
Merindad de Sotoscueva (Burgos)	Merindad de Sotoscueva
Castrillo del Val	Castrillo del Val
Valdorros (Burgos)	Valdorros
Los Ausines (Burgos)	Los Ausines
Merindad de Cuesta-Urria (Burgos)	Merindad de Cuesta-Urria
Los Barrios de Bureba (Burgos)	Los Barrios de Bureba
Valle de Manzanedo (Burgos)	Valle de Manzanedo
Hontoria de Valdearados (Burgos)	Hontoria de Valdearados
Fuentecén (Burgos)	Fuentecén
Miraveche (Burgos)	Miraveche
Fresnillo de las Dueñas (Burgos)	Fresnillo de las Dueñas
Piérnigas (Burgos)	Piérnigas
Ciruelos de Cervera	Ciruelos de Cervera
Pinilla Trasmonte (Burgos)	Pinilla Trasmonte
Valdezate (Burgos)	Valdezate
Trespaderne (Burgos)	Trespaderne
Pineda Trasmonte (Burgos)	Pineda Trasmonte
Peral de Arlanza (Burgos)	Peral de Arlanza
Puentedura (Burgos)	Puentedura
Cogollos	Cogollos
Cerratón de Juarros	Cerratón de Juarros
Mambrillas de Lara (Burgos)	Mambrillas de Lara
Castrillo de la Reina	Castrillo de la Reina
Merindad de Valdivielso (Burgos)	Merindad de Valdivielso
Modúbar de la Emparedada (Burgos)	Modúbar de la Emparedada
Huerta de Rey	Huerta de Rey
Cascajares de Bureba	Cascajares de Bureba
Cayuela	Cayuela
Robleda	Robleda
Nava de Francia	Nava de Francia
Navarredonda de la Rinconada	Navarredonda de la Rinconada
Escurial de la Sierra	Escurial de la Sierra
Alconada	Alconada
Moncalvillo (Burgos)	Moncalvillo
Estépar (Burgos)	Estépar
Carrizo	Carrizo de la Ribera
Vallecillo	Vallecillo
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Carbajales de Alba	Carbajales de Alba
Balboa (León)	Balboa (León)
Alba de Yeltes	Alba de Yeltes
Herguijuela de la Sierra	Herguijuela de la Sierra
La Rinconada de la Sierra	La Rinconada de la Sierra
Santa María de Valverde	Santa María de Valverde
Revilla del Campo (Burgos)	Revilla del Campo
Humada (Burgos)	Humada
Pampliega (Burgos)	Pampliega
Padilla de Abajo (Burgos)	Padilla de Abajo
Valle de las Navas (Burgos)	Valle de las Navas
Valle de Santibáñez (Burgos)	Valle de Santibáñez
Santa María Rivarredonda (Burgos)	Santa María Rivarredonda
Valle de Oca (Burgos)	Valle de Oca
Villaquirán de los Infantes (Burgos)	Villaquirán de los Infantes
Valle de Valdelucio (Burgos)	Valle de Valdelucio
Rebolledo de la Torre (Burgos)	Rebolledo de la Torre
Villoruebo (Burgos)	Villoruebo
Cubo de Bureba	Cubo de Bureba
Frías (Burgos)	Frías
Villasur de Herreros (Burgos)	Villasur de Herreros
Villasandino (Burgos)	Villasandino
Santa Cruz del Valle Urbión (Burgos)	Santa Cruz del Valle Urbión
Revilla Vallejera (Burgos)	Revilla Vallejera
Rábanos (Burgos)	Rábanos
Quintanilla San García (Burgos)	Quintanilla San García
Torregalindo (Burgos)	Torregalindo
Pineda de la Sierra (Burgos)	Pineda de la Sierra
Pedrosa de Río Úrbel (Burgos)	Pedrosa de Río Úrbel
Quintanavides (Burgos)	Quintanavides
Pedrosa del Páramo (Burgos)	Pedrosa del Páramo
Salas de Bureba (Burgos)	Salas de Bureba
Fresno de Río Tirón (Burgos)	Fresno de Río Tirón
Hontoria de la Cantera (Burgos)	Hontoria de la Cantera
Las Hormazas (Burgos)	Las Hormazas
Las Quintanillas (Burgos)	Las Quintanillas
Frandovínez (Burgos)	Frandovínez
Riaño	Riaño
Aldehuela de Yeltes	Aldehuela de Yeltes
Fresneña (Burgos)	Fresneña
Monasterio de Rodilla (Burgos)	Monasterio de Rodilla
Huerta de Arriba	Huerta de Arriba
Huérmeces (Burgos)	Huérmeces
Cubillo del Campo	Cubillo del Campo
San Pedro de la Nave-Almendra	San Pedro de la Nave-Almendra
Rucandio (Burgos)	Rucandio
La Bastida	La Bastida
Prado (Zamora)	Prado (Espagne)
Santa Cecilia (Burgos)	Santa Cecilia (Burgos)
Espeja	Espeja
Truchas	Truchas
La Alameda de Gardón	La Alameda de Gardón
La Alamedilla	La Alamedilla
Arcos (Burgos)	Arcos (Burgos)
La Alberguería de Argañán	La Alberguería de Argañán
Granja de Moreruela	Granja de Moreruela
Los Altos (Burgos)	Los Altos (Burgos)
Pīnanaka	Noix d'arec
Kapalua	Kapalua
Waimanalo	Waimanalo
Páginas da Vida	Le Roman de la vie
Valle de Valdelaguna (Burgos)	Valle de Valdelaguna
San Juan del Monte (Burgos)	San Juan del Monte
Haza (Burgos)	Haza
Cavia (Burgos)	Cavia (Burgos)
Rojas (Burgos)	Rojas (Burgos)
Santa Inés (Burgos)	Santa Inés (Burgos)
Contreras	Contreras
Kaʻaʻawa	Kaaawa
Albert Küchler	Albert Küchler
Wailuku	Wailuku
Maraghar lukua	Massacre de Maragha
Pāʻia	Paia
Bochotnica	Bochotnica
Sanna Nielsen	Sanna Nielsen
ʻEleʻele (Kauaʻi)	Eleele
Nakayama Miki	Nakayama Miki
Hōkūleʻa	Hokule'a
Conrad Bain	Conrad Bain
Carrossel	Carrossel
Māhele:Nā ‘āinapuni‘ole	Catégorie:Continent
Corações Feridos	Corações Feridos
Dira Paes	Dira Paes
Gabriel Braga Nunes	Gabriel Braga Nunes
Zoboomafoo	Zoboomafoo
Anakuhi:Nā hōkū hele o ke kahua o nā hōkū	Modèle:Palette Système solaire
Wimzie's House	La Maison de Ouimzie
Anakuhi:WikipediaLang	Modèle:Wikipedialang
Wikipedia:Nā kahu	Wikipédia:Administrateur
Wikipedia:Nā noi e ho‘oki‘eki‘e	Wikipédia:Candidature au statut d'administrateur
Wikipedia:Lopako	Wikipédia:Bot
‘Aikupika	Égypte
Anakuhi:Lopako	Modèle:Bot
Kanakā	Canada
Māhele:Hunakalia	Catégorie:Hongrie
Māhele:Helene	Catégorie:Grèce
Māhele:Solowakia	Catégorie:Slovaquie
Māhele:ʻEulopa	Catégorie:Europe
Māhele:Wikipedians by language	Catégorie:Wikipédiens par langue
Wikipedia:‘Ōmuku	Aide:Ébauche
Sung Jae-gi	Sung Jae-ki
Anakuhi:Softredirect	Modèle:Redirection douce
Anakuhi:Kāpae	Modèle:Suppression Immédiate
Māhele:‘Ōlelo	Catégorie:Langue
Māhele:Wikipikia	Catégorie:Wikipédia
Wikipedia:Nā a‘o ‘ana laulā	Wikipédia:Avertissements généraux
Wikipedia:Manuale Kaila	Wikipédia:Conventions de style
Anakuhi:Navbox	Modèle:Méta palette de navigation
Don Keefer	Don Keefer
Anakuhi:!	Modèle:!
Nina Andrycz	Nina Andrycz
Anakuhi:Tnavbar	Modèle:Tnavbar
Anakuhi:Okina	Modèle:Okina
Māhele:ʻApelika	Catégorie:Afrique
Anakuhi:Papela	Modèle:Boîte Babel
Anakuhi:Commons	Modèle:Commons
Anakuhi:ʻŌmuku	Modèle:Ébauche
Anakuhi:User de	Modèle:Utilisateur de
Anakuhi:User en	Modèle:Utilisateur en
Anakuhi:User fr	Modèle:Utilisateur fr
Māhele:ʻĀkia	Catégorie:Asie
Māhele:21st century	Catégorie:XXIe siècle
Māhele:Panalāʻau o Soria	Catégorie:Province de Soria
Māhele:Castille a Leon	Catégorie:Castille-et-León
Anakuhi:Mod	Modèle:Mod
Anakuhi:Aloha	Modèle:Bienvenue nouveau
Anakuhi:Wikipediasister	Modèle:Projets Wikimedia
Anakuhi:Wide image	Modèle:Image panoramique
Māhele:Palika	Catégorie:Paris
Māhele:User en	Catégorie:Utilisateur en
Anakuhi:User ru	Modèle:Utilisateur ru
Māhele:Nā hōkū hele o ke kahua o nā hōkū	Catégorie:Planète du système solaire
Anakuhi:User blank	Modèle:Babel field M
Anakuhi:Ho‘okele nā makahiki	Modèle:Années
Anakuhi:Pule	Modèle:Palette Jours de la semaine
Anakuhi:Huaʻōlelo puana like	Modèle:Homonymie
Māhele:Aliʻi o Hawai‘i	Catégorie:Roi d'Hawaï
Anakuhi:Nā ‘āinapuni‘ole	Modèle:Palette Masses continentales
Māhele:User fr	Catégorie:Utilisateur fr
Māhele:Mea hoʻohana haw	Catégorie:Utilisateur haw
Māhele:Panalāʻau o Quảng Binh	Catégorie:Province de Quảng Bình
Māhele:User de	Catégorie:Utilisateur de
Māhele:User de-N	Catégorie:Utilisateur de-M
Māhele:User en-N	Catégorie:Utilisateur en-M
Anakuhi:ʻŌnaehana helu	Modèle:Palette Notion de nombre
Māhele:Kahawai o Palani	Catégorie:Cours d'eau de France
Māhele:User ru	Catégorie:Utilisateur ru
Anakuhi:Sepania	Modèle:Communautés autonomes espagnoles
Māhele:Kahaki‘i	Catégorie:Peintre
Māhele:Hawai‘i	Catégorie:Hawaï
Māhele:Panalā‘au o Granada	Catégorie:Commune de la province de Grenade
Māhele:Kelewikiona	Catégorie:Télévision
Māhele:Nolewai	Catégorie:Norvège
Māhele:Nā moana	Catégorie:Océan
Māhele:Kapikala	Catégorie:Capitale de pays
Māhele:Honolulu	Catégorie:Honolulu
Māhele:Panalā‘au o Burgos	Catégorie:Commune de la province de Burgos
Māhele:Panalā‘au o Zamora	Catégorie:Commune de la province de Zamora
Trojany	Trojany (Mazovie)
Māhele:Panalā‘au o Salamanca	Catégorie:Province de Salamanque
Māhele:Haku mele (ho‘okani)	Catégorie:Compositeur
Māhele:Oʻahu	Catégorie:Oahu
Chiquititas	Chiquititas (série télévisée, 2013)
Anakuhi:Nā kapikala o nā moku‘āina o ‘Amelika Hui	Modèle:Palette Capitale d'État américain
Anakuhi:Puke o Molemona	Modèle:Palette Livre de Mormon
Module:Yesno	Module:Yesno
Yun Hyon-seok	Yun Hyon-seok
Module:Arguments	Module:Arguments
Papa nui:NāLoliHou	Spécial:Modifications récentes
Module:Citation/CS1	Module:Biblio
