Africa	Afrique
Template:Col-begin	Modèle:Col-début
Template:Col-end	Modèle:Col-fin
Wikipedia:Vital articles	Wikipédia:Articles vitaux
Category:Africa	Catégorie:Afrique
Category:Baibulo	Catégorie:Bible
Category:Miyezi	Catégorie:Mois
Template:Babel	Modèle:Boîte Babel
Template:Provinces of South Africa	Modèle:Palette Provinces de l'Afrique du Sud
Template:Commons	Modèle:Commons
Template:Stub	Modèle:Ébauche
Template:See also	Modèle:Article connexe
Template:User da	Modèle:Utilisateur da
Template:User be-2	Modèle:Utilisateur be-2
Template:User da-1	Modèle:Utilisateur da-1
Template:User cs-1	Modèle:Utilisateur cs-1
Template:User bg-1	Modèle:Utilisateur bg-1
Template:User eo-3	Modèle:Utilisateur eo-3
Template:User de	Modèle:Utilisateur de
Template:User de-1	Modèle:Utilisateur de-1
Template:User de-3	Modèle:Utilisateur de-3
Template:User en-3	Modèle:Utilisateur en-3
Template:User en-1	Modèle:Utilisateur en-1
Template:User en-2	Modèle:Utilisateur en-2
Template:User en-0	Modèle:Utilisateur en-0
Template:User en	Modèle:Utilisateur en
Template:User es-1	Modèle:Utilisateur es-1
Template:User fr-1	Modèle:Utilisateur fr-1
Template:User it-3	Modèle:Utilisateur it-3
Template:User sk	Modèle:Utilisateur sk
Template:User tr	Modèle:Utilisateur tr
Template:User ja-1	Modèle:Utilisateur ja-1
Template:User it-1	Modèle:Utilisateur it-1
Template:User hr-1	Modèle:Utilisateur hr-1
Category:MaBoma a South Africa	Catégorie:Province de l'Afrique du Sud
Category:User uk	Catégorie:Utilisateur uk
Category:User uk-N	Catégorie:Utilisateur uk-M
Template:Mod	Modèle:Mod
Template:SIL	Modèle:Lien ISO 639-3
Template:User uk	Modèle:Utilisateur uk
Template:User es-2	Modèle:Utilisateur es-2
Template:Welcome	Modèle:Bienvenue nouveau
Category:User fr-1	Catégorie:Utilisateur fr-1
Template:Collapsible list	Modèle:Collapsible list
Template:Documentation/docname	Modèle:Documentation/docname
Template:Location map	Modèle:Carte avec géolocalisation
Category:User en	Catégorie:Utilisateur en
Category:User en-2	Catégorie:Utilisateur en-2
Template:User ru-4	Modèle:Utilisateur ru-4
Template:User nl-2	Modèle:Utilisateur nl-2
Template:User ru	Modèle:Utilisateur ru
Template:User pl-1	Modèle:Utilisateur pt-1
Template:User no-2	Modèle:Utilisateur no-2
Wikipedia:Nospam	Wikipédia:Pages protégées à la création
Template:Purge	Modèle:Purger le cache
Template:Infobox Continent	Modèle:Infobox Continent
Template:Coord	Modèle:Coord
Category:User be	Catégorie:Utilisateur be
Category:User hr	Catégorie:Utilisateur hr
Category:User sk	Catégorie:Utilisateur sk
Category:User sl	Catégorie:Utilisateur sl
Category:User eo	Catégorie:Utilisateur eo
Category:User fr	Catégorie:Utilisateur fr
Category:User ja	Catégorie:Utilisateur ja
Category:User mk	Catégorie:Utilisateur mk
Category:User pt	Catégorie:Utilisateur pt
Category:User sv	Catégorie:Utilisateur sv
Category:User sw	Catégorie:Utilisateur sw
Category:User it-3	Catégorie:Utilisateur it-3
Category:User cs-1	Catégorie:Utilisateur cs-1
Category:User da-1	Catégorie:Utilisateur da-1
Category:User sl-1	Catégorie:Utilisateur sl-1
Category:User mk-1	Catégorie:Utilisateur mk-1
Category:User sw-1	Catégorie:Utilisateur sw-1
Category:User be-2	Catégorie:Utilisateur be-2
Category:User nl-2	Catégorie:Utilisateur nl-2
Category:User ru-N	Catégorie:Utilisateur ru-M
Category:User bg	Catégorie:Utilisateur bg
Category:User bg-1	Catégorie:Utilisateur bg-1
Category:User cs	Catégorie:Utilisateur cs
Category:User da	Catégorie:Utilisateur da
Category:User sk-N	Catégorie:Utilisateur sk-M
Category:User de	Catégorie:Utilisateur de
Category:User en-0	Catégorie:Utilisateur en-0
Category:User en-3	Catégorie:Utilisateur en-3
Category:User en-N	Catégorie:Utilisateur en-M
Category:User eo-3	Catégorie:Utilisateur eo-3
Category:User es	Catégorie:Utilisateur es
Category:User es-1	Catégorie:Utilisateur es-1
Category:User es-2	Catégorie:Utilisateur es-2
Category:User hr-1	Catégorie:Utilisateur hr-1
Category:User it	Catégorie:Utilisateur it
Category:User it-1	Catégorie:Utilisateur it-1
Category:User ja-1	Catégorie:Utilisateur ja-1
Template:User sv-1	Modèle:Utilisateur sv-1
Template:User sw-1	Modèle:Utilisateur sw-1
Category:Maiko a ku Africa	Catégorie:Pays d'Afrique
Category:User pt-N	Catégorie:Utilisateur pt-M
Category:User ru	Catégorie:Utilisateur ru
Category:User ru-4	Catégorie:Utilisateur ru-4
Category:User sv-1	Catégorie:Utilisateur sv-1
Category:User tr	Catégorie:Utilisateur tr
Category:User tr-N	Catégorie:Utilisateur tr-M
Category:User uk-4	Catégorie:Utilisateur uk-4
Category:Malaŵi	Catégorie:Malawi
Category:Mozambique	Catégorie:Mozambique
Template:User mk-1	Modèle:Utilisateur mk-1
Template:User no-1	Modèle:Utilisateur no-1
Template:User pt	Modèle:Utilisateur pt
Template:User uk-4	Modèle:Utilisateur uk-4
Category:Zambia	Catégorie:Zambie
Category:User nl	Catégorie:Utilisateur nl
Category:User no-1	Catégorie:Utilisateur no-1
Category:User no-2	Catégorie:Utilisateur no-2
Category:User no	Catégorie:Utilisateur no
Category:ZiPani za ndale	Catégorie:Parti politique
Category:Lilongwe	Catégorie:Lilongwe
Template:User sl-1	Modèle:Utilisateur sl-1
Trojany	Trojany (Mazovie)
Category:User en-1	Catégorie:Utilisateur en-1
Category:User de-1	Catégorie:Utilisateur de-1
Category:User da-N	Catégorie:Utilisateur da-M
Special:RecentChanges	Spécial:Modifications récentes
Module:Coordinates	Module:Coordinates
