ఆఫ్రికా	Afrique
అట్లాంటా	Atlanta
ముస్సోలినీ	Benito Mussolini
నిఘంటువు	Dictionnaire
బెర్ముడా	Bermudes
తల	Tête (anatomie)
జాతీయ గీతం	Hymne national
లాస్ వెగాస్	Las Vegas
పది	10 (nombre)
పరమాణు సంఖ్య	Numéro atomique
ఆల్‍ఫ్రెడ్ నోబెల్	Alfred Nobel
దువ్వెన	Peigne
మానవ శరీరము	Corps humain
బొంగరము	Toupie (jouet)
మృత సముద్రము	Mer Morte
570	570
చిరుతపులి	Guépard
సాహస క్రీడ	Jeu d'aventure
రుతువు	Saison
బొగ్గు	Charbon
లివర్‌పూల్	Liverpool
అవతార్ (2009 చిత్రం)	Avatar (film, 2009)
వైజ్ఞానిక కల్పన	Science-fiction
బ్రెజిల్ (చలన చిత్రము)	Brazil (film, 1985)
సదాపాకు	Ruta graveolens
టైటానిక్ నౌక	Titanic
క్రిస్టొఫర్ నొలన్	Christopher Nolan
గుడ్లగూబ	Strigiformes
బఠానీ	Pois
ఆల్డర్ వృక్షాలు	Aulne
సకశేరుకాలు	Vertébrés
ఫెలిడే	Felidae
సెల్సియస్	Degré Celsius
ఆంపియర్	Ampère
నారాయణ పక్షి	Héron cendré
దేశాల జాబితా – ISO 3166-1 కోడ్	ISO 3166-1
బరువు	Poids
ఖర్జూరం	Phoenix dactylifera
సుత్తి	Marteau (outil)
మాంసాహారులు	Carnivora
ఆర్కిడేసి	Orchidaceae
బొద్దింక	Blattaria
ఈగ	Diptera
ఆవృతబీజాలు	Magnoliophyta
మొలస్కా	Mollusca
మార్సుపీలియా	Marsupialia
స్విస్ ఫ్రాంక్	Franc suisse
నాచు	Bryophyta
కొంగ	Gruidae
ప్లవకాలు	Plancton
ఆల్చిప్ప	Bivalvia
కోబీ బ్రయన్	Kobe Bryant
నామాల కోడి	Foulque macroule
తెలుగు నాటకము	Pièce de théâtre
నెవార్క్, న్యూజెర్సీ	Newark (New Jersey)
అలుగు	Pangolin
ఆస్టరేసి	Asteraceae
తుమ్మెద	Bombus
మిణుగురు పురుగు	Lampyridae
సముద్రపు ఆవు	Sirenia (mammifère)
కుంకుమ పువ్వు	Safran (épice)
వడ్రంగి పిట్ట	Picidae
నిడేరియా	Cnidaria
అనెలిడా	Annelida
ఆధార కణజాలము	Tissu conjonctif
300	300
ఫెర్రీ	Ferry (bateau)
విత్తనపు మొక్క	Spermatophyta
జింక	Antilope
లెపోరిడే	Leporidae
కుషాణులు	Empire kouchan
తెరచాప	Voile (navire)
విజిల్‍బ్లోయర్	Lanceur d'alerte
నేతోస్టొమాటా	Gnathostomata (Vertebrata)
వైటేసి	Vitaceae
సపిండేలిస్	Sapindales
రాజారామన్న	Raja Ramanna
అంచు (జ్యామితి)	Arête (géométrie)
శీర్షం (జ్యామితి)	Sommet (géométrie)
పిండం	Fœtus
లారేసి	Lauraceae
ఉపగ్రహము	Satellite artificiel
చమరీ మృగం	Yak
రాలిడే	Rallidae
మాచిపత్రి	Artemisia vulgaris
శత పుష్పం	Aneth
గంజాయి మొక్క	Cannabis sativa
లవంగము	Giroflier
తమిళ అక్షరమాల	Alphasyllabaire tamoul
ఓర్కా	Orque
టేలర్ స్విఫ్ట్	Taylor Swift
లాభం	Bénéfice
లక్షద్వీపములు	Lakshadweep
ఎపిజెనెటిక్స్	Épigénétique
ఇన్ఫోసిస్	Infosys
ఆస్టన్ మార్టిన్	Aston Martin
సపిండేసి	Sapindaceae
మధ్య ఆసియా	Asie centrale
అడవిలవంగపట్ట	Cinnamomum
పైపరేలిస్	Piperales
డైమ్లెర్‌	Daimler (entreprise)
ఎ.వో.ఎల్.	America Online
ఫెరారీ	Ferrari (entreprise)
ఫీనిక్స్ (ప్రజాతి)	Phoenix (palmier)
క్రిస్తాదేల్ఫియన్లు	Christadelphe
గానం	Chant
డాకస్	Daucus
తొక్కుడుబిళ్ళ	Marelle
దాల్చిన చెక్క	Cannelle (écorce)
అయస్కాంత పర్మియబిలిటీ	Perméabilité magnétique
గబ్బిలం	Chiroptera
వెంట్రుక	Poil
చుట్టుకొలత	Périmètre
మార్టిన్	Martin
మయ నాగరికత	Civilisation maya
ఇంకా సామ్రాజ్యం	Empire inca
మిస్‍క్యారేజ్	Fausse couche
కోళికోడ్	Kozhikode
పేరడైజ్ లాస్ట్	Le Paradis perdu (John Milton)
కణాధార ధర్మాలు	Propriété colligative
శాండ్‌విచ్	Sandwich
వస్త్రం	Textile
ఫీల్డ్స్ పతకం	Médaille Fields
పైథాన్ (కంప్యూటర్ భాష)	Python (langage)
ఇస్లామీయ కేలండర్	Calendrier musulman
పిచ్చుక	Passeridae
విల్లిస్ టవర్	Willis Tower
అస్సామీ భాష	Assamais
కాబా	Kaaba
పాగనిజం	Paganisme
సాంద్రత	Masse volumique
చేవ్రొలెట్	Chevrolet
వెబ్‌క్యామ్‌	Webcam
వై-ఫై	Wi-Fi
సమితి నిబంధనలు (చట్టం)	Droit inaliénable
పే పర్ క్లిక్	Coût par clic
గరాటు	Entonnoir
నీటి కుక్క	Loutre d'Europe
కాఫీ దుకాణం	Café (établissement)
జీప్	Jeep
మంచు చిరుత	Once (félin)
ఆస్పెక్ట్ ఓరియెంటెడ్ ప్రోగ్రామింగ్	Programmation orientée aspect
లూయీ	Louis
ఏచర్	Ecser
762	762
అధ్యక్షుడు	Président
మదర్ థెరీసా	Mère Teresa
సహజభాషావిశ్లేషణ	Traitement automatique du langage naturel
కడప	Kadapa
బ్లాగు	Blog
ఆస్కార్ వైల్డ్	Oscar Wilde
డెంగీ	Dengue
తాడు	Corde (outil)
గణన యంత్రం	Calculatrice
బూతు	Obscénité
జనాభా జన్యుశాస్త్రం	Génétique des populations
అక్క	Fratrie
చిలుక	Psittaciformes
మేనరికం	Mariage consanguin
మైక్రొగ్లొస్సైన్	Cacatoès noir
అదితి	Aditi
ప్లమ్మర్-విన్సన్ సిండ్రోమ్	Syndrome de Plummer-Vinson
రోజ్ యాపిల్	Jamrosat
అరేబియా ద్వీపకల్పం	Arabie
ఎమోటికాన్	Émoticône
కూడిక	Addition
ముష్టి యుద్ధం	Boxe anglaise
అమెరికన్ ఎయిర్‌లైన్స్	American Airlines
కత్తి	Couteau
జెన్నిఫర్ అనిస్టన్	Jennifer Aniston
డొమైన్ పేరు	Nom de domaine
మలాలా యూసఫ్‌జాయ్	Malala Yousafzai
జీబ్రా	Zèbre
మస్జిద్	Mosquée
ఎకాన్	Akon
ఋతుపర్ణ ఘోష్	Rituparno Ghosh
బ్రహుయి	Brahoui
ఛాయా గ్రాహకుడు	Photographe
మొఘల్ సామ్రాజ్యం	Empire moghol
ద్రావిడ భాషలు	Langues dravidiennes
ఏలకులు	Cardamome
సంగ్రహాలయం	Musée
హరిద్ర	Curcuma (genre)
కాశ్మీరీ భాష	Cachemiri
ధృవపు ఎలుగుబంటి	Ours blanc
కన్నడ భాష	Kannada
మెరుపు	Foudre
బెర్ట్రాండ్ రస్సెల్	Bertrand Russell
చేయి	Main
ఒడియా భాష	Oriya
ఎడ్మండ్ హిల్లరీ	Edmund Hillary
నేపాలీ భాష	Népalais
జనాభా	Population
థియోడర్ రూజ్‌వెల్ట్	Theodore Roosevelt
టూర్ డి ఫ్రాన్స్	Tour de France
సెయింట్‌ పీటర్	Pierre (apôtre)
నీస్	Nice
పత్రము	Feuille
వల్పరైజో	Valparaiso
నటులు	Acteur
హాలీవుడ్	Hollywood
జీడి	Anacardier
అక్షాంశం	Latitude
జలపాతము	Chute d'eau
కంచు	Bronze
వెన్న	Beurre
వేదాంతశాస్త్రం	Théologie
పాబ్లో నెరుడా	Pablo Neruda
ఆక్స్‌ఫర్డ్	Oxford
నయాగరా జలపాతం	Chutes du Niagara
సంకేత భాష	Langue des signes
కొంకణి భాష	Konkani
తుళు	Toulou
లినస్ టోర్వాల్డ్స్	Linus Torvalds
విసుగుదల	Ennui
సువార్త	Évangiles
అలెగ్జాండర్ గ్రాహంబెల్	Alexander Graham Bell
జ్యోతిషశాస్త్రం	Astrologie
సంగీత వాయిద్యం	Instrument de musique
హంస	Cygne
సబ్బు	Savon
బెనజీర్ భుట్టో	Benazir Bhutto
షకీరా	Shakira
ఆక్స్‌ఫర్డ్ విశ్వవిద్యాలయం	Université d'Oxford
రహదారి	Route
కంపాక్ట్ డిస్క్	Disque compact
హెలికాప్టరు	Hélicoptère
అల్ ఖైదా	Al-Qaïda
మోటార్ సైకిల్	Motocyclette
నీటి ఏనుగు	Hippopotamus amphibius
కానుపు	Accouchement
పది ఆజ్ఞలు	Décalogue
ఆల్బర్ట్ కామూ	Albert Camus
ఇసుక	Sable
గులాబి	Rosier
విశేషణము	Adjectif
గ్రీక్ పురాణశాస్త్రం	Mythologie grecque
దిక్సూచి	Boussole
ప్రజాతి	Genre (biologie)
రుడ్యార్డ్ కిప్లింగ్	Rudyard Kipling
సాంఘిక శాస్త్రం	Sciences humaines et sociales
ద్వీపకల్పము	Péninsule
ఎక్స్-రే	Rayon X
ఫ్రెడరిక్ ఎంగెల్స్	Friedrich Engels
కొత్త సంవత్సరం	Jour de l'an
ఎలిజబెత్ టేలర్	Elizabeth Taylor
ప్రోవిన్స్	Province
బొప్పాయి	Papayer
బ్రిస్బేన్	Brisbane
విటమిన్	Vitamine
బెంజమిన్ ఫ్రాంక్లిన్	Benjamin Franklin
ఐజాక్ అసిమోవ్	Isaac Asimov
తోరాహ్	Torah
కాబేజీ	Chou cabus
పోస్టాఫీసు	Bureau de poste
అమెరికా సంయుక్త రాష్ట్రాల అధ్యక్షులు	Liste des présidents des États-Unis
సామెతలు	Proverbe
వెబ్‌సైటు	Site web
విల్హేల్మ్ కన్రాడ్ రాంట్జెన్	Wilhelm Röntgen
దర్పణం	Miroir
షైతాన్	Satan
పద ఉత్పత్తి శాస్త్రం	Étymologie
బ్రాడ్ పిట్	Brad Pitt
కొలంబో	Colombo
ధ్వనిశాస్త్రం	Phonétique
కుటుంబము (జీవశాస్త్రం)	Famille (biologie)
ఆబ్రే ఆడమ్స్	Aubrey Addams
కిటికీ	Fenêtre
మదీనా	Médine
గుహ	Grotte
రెసిల్ మేనియా	WrestleMania
శ్వేత సౌధం	Maison-Blanche
రక్షకభటుడు	Police (institution)
సర్ ఆర్థర్ కోనన్ డోయల్	Arthur Conan Doyle
అల్లం	Gingembre
నోబెల్‌ శాంతి బహుమతి	Prix Nobel de la paix
హిమానీనదం	Glacier
పిట్‌కెయిర్న్ దీవులు	Îles Pitcairn
కొండ భాష	Konda (langue)
జాగ్వర్	Jaguar
జర్‌ట్రూడ్ బేలే ఎలియన్	Gertrude Elion
పార్లమెంట్లు	Parlement
పదార్ధము	Matière
వ్యాసం	Essai
సఫారి (వెబ్ బ్రౌజర్)	Safari (logiciel)
కేంబ్రిడ్జ్ విశ్వవిద్యాలయం	Université de Cambridge
దగ్గు	Toux
వంటచెరకు	Bois énergie
రైట్ సోదరులు	Orville et Wilbur Wright
తుమ్ము	Éternuement
నిద్ర	Sommeil
హెక్టారు	Hectare
బాప్టిజం	Baptême
ద్రవ్యోల్బణం	Inflation
ఉబ్బసము	Asthme
పడవ	Bateau
హాస్యము	Humour
లంబోర్ఘిని	Lamborghini
ఒమర్ ఖయ్యాం	Omar Khayyam
సుబాబుల్	Leucaena leucocephala
ల్యాండ్ రోవర్	Land Rover
వెదురు	Bambou
కాంగో	Congo
మెర్సిడెస్-బెంజ్	Mercedes-Benz
హొ చి మిన్	Hô Chi Minh
మిన్నియాపోలిస్	Minneapolis
కోలా	Koala
ముహమ్మద్ ఆలీ	Mohamed Ali (boxe anglaise)
రాత్రి రాణి	Cestrum nocturnum
నేల	Sol (pédologie)
అంజూరం	Ficus carica
లెబ్రాన్ జేమ్స్	LeBron James
సమితులు	Ensemble
రచయిత	Écrivain
మార్క్ జూకర్‌బర్గ్	Mark Zuckerberg
సర్వనామము	Pronom
మలయాళ భాష	Malayalam
పొడవు	Longueur
జీవిత చరిత్ర	Biographie
పట్టు దారి	Route de la soie
కాల్గరీ	Calgary
జోర్డానో బ్రూనో	Giordano Bruno
స్వప్నం	Rêve
టైక్వాండో	Taekwondo
ఎలుక	Rattus
అబెర్డీన్	Aberdeen
రాజనీతి శాస్త్రము	Science politique
పిండి	Farine
రేఖాంశం	Longitude
ది లయన్ కింగ్	Le Roi lion
పొయ్యి	Four
వ్లదీమర్ నబొకొవ్	Vladimir Nabokov
క్రమము	Ordre (biologie)
గొరిల్లా	Gorille
వ్యభిచారం	Prostitution
ద్వినామ నామకరణ	Nom binominal
యుగోస్లేవియా	Yougoslavie
మామత్	Mammouth
పాళీ భాష	Pali
అంగ్ సాన్ సూకీ	Aung San Suu Kyi
అమెరికా ఆదిమ వాసులు	Amérindiens
రాబర్ట్ ప్యాటిన్సన్	Robert Pattinson
తలుపు	Porte (architecture)
చతుర్భుజి	Quadrilatère
గోరు	Ongle
మాతృభాష	Langue maternelle
మధుబాల	Madhubala
పర్వతారోహణం	Alpinisme
చెరకు	Canne à sucre
రాబర్ట్ డి నీరో	Robert De Niro
కుష్టు వ్యాధి	Lèpre
వేట	Chasse
జాకీ చాన్	Jackie Chan
ముఖం	Visage
జింజిబరేసి	Zingiberaceae
ప్రకటన	Publicité
స్వతంత్రం	Indépendance (politique)
మేకు	Clou
టామ్ క్రూజ్	Tom Cruise
బాలల దినోత్సవం	Journée de l'enfance
త్రిత్వము	Trinité (christianisme)
యాహూ!	Yahoo!
ఆక్లాండ్	Auckland
ఫ్లోరెన్స్ నైటింగేల్	Florence Nightingale
ఫరో	Pharaon
గుల్బర్గా	Gulbarga
ఏకే-47	AK-47
ఎథీనా	Athéna
మీథేన్	Méthane
మరిఉపొల్	Marioupol
అవకాడో	Avocatier
ఇంటర్నేషనల్ బిజినెస్ మెషీన్స్	International Business Machines
స్టార్‌బక్స్	Starbucks
తరంగము	Onde
జానీ డెప్	Johnny Depp
ఎర్ర రక్త కణం	Érythrocyte
రాబర్ట్ కోచ్	Robert Koch
వ్యాసం (గణిత శాస్త్రము)	Diamètre
ఉపాధ్యాయుడు	Instituteur
కేంద్ర నిఘా సంస్థ	Central Intelligence Agency
రామాయణము	Ramayana
పవిత్ర ఆత్మ	Saint-Esprit
ఇంటర్నెట్ మూవీ డేటాబేస్	Internet Movie Database
దలైలామా	Dalaï-lama
ఆక్రొతిరి మరియు ఢెకెలియా	Akrotiri et Dhekelia
క్లాస్ ఎబనర్	Klaus Ebner
వేరుశనగ	Arachide
మోకాలు	Genou
ఆప్రికాట్	Abricotier
పియరీ క్యూరీ	Pierre Curie
కళ్ళద్దాలు	Lunettes
అగ్గిపుల్ల	Allumette
తరగతి (జీవశాస్త్రం)	Classe (biologie)
గ్లూకోస్	Glucose
ఖగోళ భౌతిక శాస్త్రం	Astrophysique
ప్రేమికుల రోజు	Saint-Valentin
వడగళ్ళు	Grêle
ఊసరవెల్లి	Chamaeleonidae
హోగెనక్కల్‌ జలపాతం	Chutes de Hogenakkal
ఉస్మాన్ ఇబ్న్ అఫ్ఫాన్	Othmân ibn Affân
భూస్వామ్య విధానం	Féodalité
వారసవాహిక	Chromosome
షార్లోట్టేస్ వెబ్ (1973 సినిమా)	Le Petit Monde de Charlotte (film, 1973)
పర్యావరణ వ్యవస్థ	Écosystème
ఆక్లాండ్ గ్రామర్ స్కూలు	Auckland Grammar School
రిఫ్రిజిరేటర్	Réfrigérateur
మిల్వాకీ, విస్కాన్సిన్	Milwaukee
శైవలాలు	Algue
నటాలీ పోర్ట్‌మన్	Natalie Portman
జలసంధి	Détroit
తపాలా బిళ్ళ	Timbre postal
చిలగడదుంప	Patate douce
గ్రెగర్ జోహన్ మెండల్	Gregor Mendel
కెంర్టెన్	Carinthie (Land)
యాంగోన్	Rangoun
సెయింట్ లూయిస్	Saint-Louis (Missouri)
ఎగ్జిస్టెన్షియలిజం	Existentialisme
నానాజాతి సమితి	Société des Nations
సమురాయ్	Samouraï
నాసికాస్థులు	Os nasal
ఆధునిక చిత్రకళ	Art moderne
హెలెన్ కెల్లర్	Helen Keller
ఎన్య	Enya
ప్రాథమిక విభజన	Embranchement (biologie)
ఇంగ్లాండ్ రాజు హెన్రీ VIII	Henri VIII
ఆశా భోస్లే	Asha Bhosle
శివసముద్రం జలపాతం	Chutes de Shivanasamudram
న్యూటన్ సూత్రాలు	Lois du mouvement de Newton
కొలంబియా, దక్షిణ కెరొలిన	Columbia (Caroline du Sud)
బాక్సర్ (కుక్క)	Boxer (chien)
మిలియను	Million
దేవనాగరి	Devanagari
బాటరా గోర్జ్ జలపాతం	Gouffre des Trois Ponts
పుచ్చ	Pastèque
బంగాళాఖాతము	Golfe du Bengale
వంట	Cuisson des aliments
గాలి మర	Moulin à vent
ఆయతొల్లాహ్ ఖొమైనీ	Rouhollah Khomeini
విభూది తులసి	Basilic (plante)
లేజర్	Laser
వార్త (న్యూస్)	Actualité
జ్వరం	Fièvre
అంతర్జాతీయ మహిళా దినోత్సవం	Journée internationale de la femme
వోరార్ల్‌బెర్గ్	Vorarlberg
పీసా టవర్	Tour de Pise
సూక్ష్మ అర్థ శాస్త్రము	Microéconomie
లీడ్స్	Leeds
చిట్టెలుక	Mus (genre)
ఘనపరిమాణము	Volume
గొడ్డలి	Hache
సర్రియలిజం	Surréalisme
పాల్ పాట్	Pol Pot
ఎమ్మా వాట్సన్	Emma Watson
ట్రాక్టర్	Tracteur agricole
బ్లూటూత్	Bluetooth
సాధనసంపత్తి	Outil
పీడనం	Pression
పెట్రోల్	Essence (hydrocarbure)
మైటోకాండ్రియా	Mitochondrie
క్రిస్టియాన్ హైగెన్స్	Christian Huygens
అలీ ఇబ్న్ అబీ తాలిబ్	Ali ibn Abi Talib
పలవల దుప్పి	Rangifer tarandus
పెనెలోప్ క్రజ్	Penélope Cruz
స్థూల ఆర్థిక శాస్త్రము	Macroéconomie
రసవాదం	Alchimie
దీపస్తంభం	Phare
ది రేస్క్యూయర్స్	Les Aventures de Bernard et Bianca
ఇత్తడి	Laiton
జ్యాక్ నికల్సన్	Jack Nicholson
విక్రయం	Marketing
లోయ	Vallée
జనాభా గణన	Recensement de la population
సూక్ష్మజీవి	Micro-organisme
రేడియో స్టూడియో 54 నెట్వర్క్	Radio Studio 54 Network
స్నాయువు	Ligament
బాదం	Amandier
చతుర్వేదాలు	Véda
నోస్ట్రడామస్	Nostradamus
సౌర శక్తి	Énergie solaire
సిల్వెస్టర్ స్టాలోన్	Sylvester Stallone
పానీయం	Boisson
కంప్యూటర్ ప్రోగ్రామ్	Programme informatique
సముద్రతీరం	Plage
ఇటుక	Brique (matériau)
ఆక్టోపస్	Octopoda
లావా	Lave
తులాదండము	Levier (mécanique)
నియాండర్తల్	Homme de Néandertal
అంతరిక్ష నౌక	Véhicule spatial
కార్ల్ బెంజ్	Carl Benz
ఎన్నికలు	Élection
మారథాన్	Marathon (sport)
గుణకారం	Multiplication
ఆత్మరక్షణ	Défense personnelle
ది ఫాక్స్ ఎండ్ ది హౌండ్	Rox et Rouky
గుడ్ ఫ్రైడే	Vendredi saint
న్యాయవాది	Avocat (métier)
కారాగారము	Prison
కణజాలము	Tissu biologique
ఇంప్రెషనిజం	Impressionnisme
బఫెలో, న్యూయార్క్	Buffalo (New York)
పర్వేజ్ ముషార్రఫ్	Pervez Musharraf
జూలియా రాబర్ట్స్	Julia Roberts
రాశి	Zodiaque
సుమో యోధులు	Sumo
శిలాజము	Fossile
తీసివేత	Soustraction
విత్తనము	Graine
పీత	Brachyura
శస్త్ర చికిత్స	Chirurgie
కత్తెర	Paire de ciseaux
ఎడ్వర్డ్ జెన్నర్	Edward Jenner
సహజ వాయువు	Gaz naturel
ఊర్ట్ మబ్బు	Nuage d'Oort
విషం	Poison
డోరిస్ లెస్సింగ్	Doris Lessing
అతిసారం	Diarrhée
అండమాన్ నికోబార్ దీవులు	Îles Andaman-et-Nicobar
డంబో	Dumbo (film, 1941)
వర్జీనియా వూల్ఫ్	Virginia Woolf
మూత్రం	Urine
ప్రార్థన	Prière
వాల్‌రస్	Morse (animal)
ఒరంగుటాన్	Orang-outan
హిజ్బుల్లాహ్	Hezbollah
నుదురు	Front (anatomie)
రాం నారాయణ్	Ram Narayan
సవాయి	Syphilis
స్కిజోఫ్రీనియా	Schizophrénie
మార్టిన్ స్కోర్సెస్	Martin Scorsese
హెరాక్లిటస్	Héraclite
నిరుద్యోగం	Chômage
సోనీ	Sony
బిగ్ బెన్	Big Ben
బార్పేట	District de Barpeta
నాటింగ్‌హామ్	Nottingham
ద్రవ్యవేగం	Quantité de mouvement
జాన్‌ డాల్టన్	John Dalton
రాకెట్	Fusée (astronautique)
నైట్ టెంప్లర్	Ordre du Temple
ఉపకళా కణజాలము	Épithélium
బాబీ ఫిషర్	Bobby Fischer
పంపరపనస	Citrus ×paradisi
సమగ్ర దృశ్యం	Panorama
చారు (సూప్)	Soupe
మైఖేల్ జెఫ్రీ జోర్డాన్	Michael Jordan
మొలలు	Pathologie hémorroïdaire
శవ పరీక్ష	Autopsie
ది గుడ్, ది బాడ్ అండ్ ది అగ్లీ	Le Bon, la Brute et le Truand
న్యాయస్థానము	Tribunal
తంజావూరు	Thanjavur
వేరు	Racine (botanique)
కేశ ఉసిరి	Groseillier à maquereau
సీమ తంగేడు	Dartrier
స్టాన్ఫోర్డ్ విశ్వవిద్యాలయం	Université Stanford
వింబుల్డన్ ఛాంపియన్‌షిప్స్	Tournoi de Wimbledon
ఫ్రాంక్ లాంపార్డ్	Frank Lampard
గ్రీన్ హౌస్ ప్రభావం	Effet de serre
ఆల్కేన్	Alcane
గొడుగు	Parapluie
ధనియాలు	Coriandre
భారత జాతీయపతాకం	Drapeau de l'Inde
గిన్నీస్ ప్రపంచ రికార్డులు	Livre Guinness des records
కంచర గాడిద	Mulet
పరికల్పన	Hypothèse
గ్రాము	Gramme
వారం రోజుల పేర్లు	Noms des jours de la semaine
షహాద	Chahada
అధిక రక్తపోటు	Hypertension artérielle
పాల్ న్యూమాన్	Paul Newman
మన్మోహన్ సింగ్	Manmohan Singh
రోసా పార్క్స్	Rosa Parks
అంతర్జాతీయ అణు శక్తి మండలి	Agence internationale de l'énergie atomique
భిల్వార జిల్లా	District de Bhilwara
తాహితీ	Tahiti
బార్మర్ జిల్లా	District de Barmer
ఖదీజా	Khadija bint Khuwaylid
షామానిజం	Chamanisme
దుమ్ములగొండి	Hyaenidae
గోబీ ఎడారి	Désert de Gobi
డెంజెల్ వాషింగ్టన్	Denzel Washington
పర్యాయపదం	Synonymie
పిరుదు	Fesse
బకింగ్ హామ్ పాలెస్	Palais de Buckingham
బొంగైగావ్	District de Bongaigaon
కచార్	District de Cachar
కొడవలి	Faucille
తాటాకు ఆదివారం	Dimanche des Rameaux
పరిశోధన	Recherche scientifique
రైబోసోము	Ribosome
యూనిఫాం రిసోర్స్ లొకేటర్	Uniform Resource Locator
లోయ యొక్క పథం	Mirante do Vale
గూగుల్ ఎర్త్	Google Earth
పొద	Arbrisseau
అంతర్భేధం యొక్క విశ్లేషణము	Analyse de la variance
శంకువు	Cône (géométrie)
అంతర్జాతీయ మాతృభాషా దినోత్సవం	Journée internationale de la langue maternelle
యుఎస్‌బి	Universal Serial Bus
తెల్ల రక్తకణాలు	Leucocyte
తాలిబాన్	Taliban
షెఫీల్డ్	Sheffield
అనగ్జిమాండర్	Anaximandre
దర్రాంగ్	District de Darrang
ధెమాజి	District de Dhemaji
డిబ్రూగర్	District de Dibrugarh
ధుబ్రి	District de Dhubri
మల్ల యుద్ధం	Lutte
కాటి పెర్రీ	Katy Perry
ఇంధనం	Combustible
హైలకండి	District de Hailakandi
గోలాఘాట్	District de Golaghat
సింధు లోయ నాగరికత	Civilisation de la vallée de l'Indus
కరీంగంజ్	District de Karimganj
విస్లావా సింబోర్స్‌కా	Wisława Szymborska
కర్బి ఆంగ్లాంగ్	District de Karbi Anglong
పసుపు	Curcuma
జేమ్స్ కామెరాన్	James Cameron
కైరా నైట్లీ	Keira Knightley
మోచేయి	Coude
ఎంపీ౩	MPEG-1/2 Audio Layer 3
కోక్రఝార్	District de Kokrajhar
పాలస్తీనా	Autorité palestinienne
నాగావ్	District de Nagaon
గేదె	Bubalus bubalis
మారిగావ్	District de Marigaon
లఖింపూర్	District de Lakhimpur
తిన్‌ సుకియా	District de Tinsukia
జీవావరణం	Biosphère
సోనిత్‌పూర్	District de Sonitpur
దిమా హసాయో	District de Dima Hasao
నల్బరి	District de Nalbari
బోరోబుదూర్	Borobudur
ఇవాన్ తుర్గేనెవ్	Ivan Tourgueniev
ప్రవక్త	Prophète
గాలిపటం	Cerf-volant
నికోలస్ కేజ్	Nicolas Cage
వాహనము	Véhicule
శ్రీ కృష్ణుడు	Krishna
అరారియా	District d'Araria
ఉత్పరివర్తనము	Mutation (génétique)
మోక్షం	Nirvana (monde indien)
ఆగ్రా	Agra
గోడ	Mur
నూనె	Huile
ఋతుపవనాలు	Mousson
వాస్తుశిల్పి	Architecte
బేసిక్	BASIC
అలర్జీ	Allergie
పచ్చబొట్టు	Tatouage
స్పటికం	Quartz (minéral)
జెలగ	Hirudinea
సంక్షిప్త సందేశ సేవ	Short Message Service
ఎలక్ట్రికల్ ఇంజనీరింగ్	Électrotechnique
హీమోగ్లోబిన్	Hémoglobine
బ్యాంబి	Bambi (film, 1942)
అక్ష రాజ్యాలు	Axe Rome-Berlin-Tokyo
అనావృష్టి	Sécheresse
హైన్రిచ్ హిమ్లెర్	Heinrich Himmler
నల్ల మిరియాలు	Poivrier noir
ఔరంగాబాద్, బీహార్	District d'Aurangabad (Bihar)
కెంపు	Rubis
వర్గం:వికీపీడియా ప్రశ్నలు	Aide:FAQ
లైకెన్	Lichen
మొసలి	Crocodylidae
స్వర్గం గుహ	Grotte de Thien Duong
పత్రహరితం	Chlorophylle
భీమా	Assurance
సంస్థ	Organisation
పోయేసి	Poaceae
చార్లెస్, వేల్స్ యొక్క యువరాజు	Charles de Galles
విక్టోరియా జలపాతం	Chutes Victoria
జింకో	Ginkgo biloba
టైమ్ పత్రిక)	Time (magazine)
పవన విద్యుత్తు	Énergie éolienne
జానపద సంగీతం	Musique folk
జలాలుద్దీన్ ముహమ్మద్ రూమి	Djalâl ad-Dîn Rûmî
హ్యారీ పోట్టర్ అండ్ ది ఫిలాసఫర్స్ స్టోన్	Harry Potter à l'école des sorciers
కాకి	Corvus
సి.బి.ఎస్.	Columbia Broadcasting System
డిస్కవరీ ఛానల్	Discovery Channel
ఈసపు	Ésope
చండీగఢ్	Chandigarh
ముత్యము	Perle
ఆడ	Femelle
శతపది	Chilopoda
మానవజాతి శాస్త్రం	Ethnologie
ఫిరదౌసి	Ferdowsî
ఆంగ్‌కోర్ వాట్	Angkor Vat
సహజ ఎంపిక	Sélection naturelle
బావి	Puits à eau
జంతు ప్రదర్శనశాల	Parc zoologique
నైట్ విష్	Nightwish
సోంపు	Fenouil commun
కే2	K2
సాపేక్ష సిద్ధాంతం	Théorie de la relativité
ఫ్రెంచ్ ఓపెన్	Internationaux de France de tennis
పర్యావరణము	Environnement
హమ్మింగ్ పక్షి	Trochilidae
గుత్తాధిపత్యం	Monopole
కొలెస్ట్రాల్	Cholestérol
బెర్ముడా ట్రయాంగిల్	Triangle des Bermudes
ఆండ్రెస్ ఇనిఎస్తా	Andrés Iniesta
ఒయాసిస్సు	Oasis
కనుబొమలు	Sourcil
టర్కీ (పక్షి)	Dinde
నాభి	Nombril
అకశేరుకాలు	Invertébré
పాస్‌పోర్ట్	Passeport
ఎడీ మర్ఫీ	Eddie Murphy
జాక్ ది రిప్పర్	Jack l'Éventreur
బర్డ్ ఫ్లూ	Grippe aviaire
కాంబ్రిటేసి	Combretaceae
రీస్ విథర్‌స్పూన్	Reese Witherspoon
క్రిస్ జెరిఖో	Chris Jericho
