आफ्रिकाखण्डः	Afrique
अन्ताराष्ट्रियः व्यापारः	Commerce international
खजुराहो	Khajurâho
खण्डकाव्यानि	Ode
फतेह्-पुर्-सिक्री	Fatehpur-Sikri
डा. जयन्त नारळीकर	Jayant Narlikar
जिद्दु कृष्णमूर्ति	Jiddu Krishnamurti
स्टीवन वैनबर्ग	Steven Weinberg (physicien)
जोर्ज एफ स्मूट	George Fitzgerald Smoot
लीयो एसाकी	Leo Esaki
पुनर्गमनवाद	Récursivité
वर्गिस् कुरियन्	Verghese Kurien
सुवर्णमन्दिरम्	Temple d'Or
आदिशङ्कराचार्यः	Adi Shankara
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Star Wars, épisode II : L'Attaque des clones
साञ्चीस्तूपः	Sanchi
ब्रायन जोसेफसन	Brian David Josephson
चेन निंग यांग	Chen Ning Yang
महाथिर मोहमद	Mahathir ibn Mohamad
तन्त्रशास्त्रम्	Tantrisme
कर्पूरम्	Camphre
झांसी लक्ष्मीबाई	Lakshmî Bâî
अगस्टा, जार्जिया	Augusta (Géorgie)
मेघदूतम्	Meghaduta
प्लास्टिक शल्यचिकित्सा	Chirurgie plastique
अलङ्काराः	Figure de style
आडुबान् जान् जेम्स्	Jean-Jacques Audubon
रेखिचिकित्सा	Reiki
श्रीरामकृष्णपरमहंसः	Râmakrishna
जलमालिन्यम्	Pollution de l'eau
हंस:	Anser
मोक्षः	Moksha
जीवविकासवादः	Darwinisme
ॐ	Om̐
थामस् हेन्रि हक्स्लि	Thomas Henry Huxley
अजन्तागुहाः	Ajantâ
पेट्रिक एम एस ब्लाकेट	Patrick Blackett
सिन-इतिरो तोमोनागा	Sin-Itiro Tomonaga
चार्ल्स् एच् टाउन्स्	Charles Townes
गेरार्डस 'टी हूफ्ट	Gerard 't Hooft
मारीस् एच् विल्किन्स्	Maurice Wilkins
तर्जनी	Index (anatomie)
हास्टिंग्स बान्डा	Hastings Kamuzu Banda
दण्डकूर्दनम्	Saut à la perche
ब्राह्मीलिपिः	Brahmi
मणिबन्धः	Poignet
अर्जुनः	Arjuna
मिग्नेल् सर्वेटस्	Michel Servet
वैश्यः	Vaishya
अयोध्या	Ayodhya
गङ्गटोक्	Gangtok
धर्मशाला, हिमाचलप्रदेशः	Dharamsala
जुलियन श्विंगर	Julian Schwinger
विलिस इ लाम्ब	Willis Eugene Lamb
राष्ट्रियध्वजः	Drapeau national
दाहोदमण्डलम्	District de Dahod
कार्लो रुबिया	Carlo Rubbia
त्रिः कूर्दनम्	Triple saut
राबर्ट १	Robert Ier d'Écosse
कुतुब् मिनार्	Qûtb Minâr
डैनी वेल्बेक	Danny Welbeck
चन्द्रगुप्तमौर्यः	Chandragupta Maurya
पुराणानि	Purana
हनुमान्	Hanoumân
शिक्षकदिनम् (भारतम्)	Fête des professeurs
राष्ट्रियपुस्तकालयः (इजरायल्)	Bibliothèque nationale d'Israël
नेविल एफ मोट्ट	Nevill Mott
एल्लोरागुहाः	Ellorâ
पाणिनिः	Panini (grammairien)
मेल्विन श्वार्ट्ज	Melvin Schwartz
निकोलास ब्लोम्बर्गन	Nicolaas Bloembergen
इस्कान् संस्था	Association internationale pour la conscience de Krishna
हिब्रूभाषा-अकादमी	Académie de la langue hébraïque
आर्थर एल शालो	Arthur Leonard Schawlow
मेमेन्टो	Memento (film)
जेम्स रेनवाटर	James Rainwater
विलियम डी फिलिप्स	William D. Phillips
मार्टिन राइल	Martin Ryle
फिलिप दबल्यु एन्डरसन	Philip Warren Anderson
फ्रान्सिस् गाल्टन्	Francis Galton
लुक्रेजिया बोर्गिया	Lucrèce Borgia
सीता	Sītā
गोदावरीनदी	Godavari
प्राकृतम्	Prakrit
श्री अरविन्दः	Aurobindo Ghose
गोल् गुम्बज़	Gol Gumbaz
अनामिका	Annulaire (anatomie)
ऐजोल	Aizawl
छन्दः	Métrique (poésie)
लीयोन एम लीडरमन	Leon Lederman
चार्ल्स बार्क्ले	Charles Barkley
भारतस्य प्रधानमन्त्री	Premier ministre de l'Inde
ए जे लेगेट	Anthony Leggett
काजीराङ्गाराष्ट्रियोद्यानम्	Parc national de Kaziranga
वर्नियरमापकम्	Vernier (mesure)
उष्णरक्तप्राणिनः	Homéotherme
जेम्स क्रोनिन	James Watson Cronin
कृष्णा	Krishna (fleuve)
केनेथ् जी विल्सन्	Kenneth Geddes Wilson
हीनयानम्	Bouddhisme hīnayāna
सत्याग्रहः	Satyagraha
शशि थरूर	Shashi Tharoor
मण्डी	Mandi (Himachal Pradesh)
भरतमुनिः	Bharata Muni
राजेन्द्र प्रसाद	Rajendra Prasad
देहरादून	Dehradun
गुवाहाटी	Guwahati
विश्वपरिसरदिनम्	Journée mondiale de l'environnement
बार्बर मेक्लिन्टाक्	Barbara McClintock
उपमालङ्कारः	Comparaison (rhétorique)
विशाखपट्टणमण्डलम्	Visakhapatnam
विजयवाडा	Vijayawada
जोधपुरम्	Jodhpur
अजमेर	Ajmer
जोनास् एड्वर्ड् साक्	Jonas Salk
उज्जैन	Ujjain
लुधियाना	Ludhiana
मेरठ	Meerut
मथुरा	Mathura
उदयपुरम्	Udaipur (Rajasthan)
लाल्बाग्	Lal Bagh
औरङ्गाबाद् (महाराष्ट्रम्)	Aurangabad
बीकानेर	Bikaner
जबलपुरम्	Jabalpur
कास्सोवारिस्	Casuariidae
रिचार्ड इ टेलर	Richard E. Taylor
विज्ञानेतिहासः	Histoire des sciences
अलिगढ, उत्तरप्रदेशः	Aligarh
अमृतसरमण्डलम्	District d'Amritsar
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	Gaspard-Gustave Coriolis
सामाजिकमाध्यमानि	Médias sociaux
ब्रह्मगुप्तः	Brahmagupta
प्लासीयुद्धम्	Bataille de Plassey
गुरुग्रन्थसाहिब	Guru Granth Sahib
पोर्ट्ब्लेरः	Port Blair
रिचर्ड क्रामवेल	Richard Cromwell
जेर्टि थेरेसा कोरि	Gerty Theresa Cori
सिरोहीमण्डलम्	District de Sirohi
सन्धिः	Sandhi
गाझियाबाद्, उत्तरप्रदेशः	Ghaziabad
संस्कृतम्.ओआरजी	Herbe
उडुपचालनक्रीडा	Rafting
कटकम्	Cuttack
ठाणे	Thane
शिलाङ्ग	Shillong
ट्रिचिमलैदुर्गम्	Tiruchirappalli
जगन्नाथपुरी	Purî
इन्द्रियनिग्रहः	Chasteté
महाबलिपुरम्	Mahabalipuram
इम्फाल	Imphāl
मु अम्मर् गडाफ़ि	Saïf al-Islam Kadhafi
पटियाला	Patiala
फेडेरिको माकेडा	Federico Macheda
भारतचीनयुद्धम्	Guerre sino-indienne
दूर्वा	Chiendent pied de poule
जलियान्वालाबाग हत्याकाण्डः	Massacre d'Amritsar
सूत्रम्	Sutra
चन्दनम्	Santalum album
गङ्गानद्याः डोल्फिन	Sousouc
चेरापूञ्जी	Cherrapunji
मियाण्डर्	Méandre (fleuve)
काञ्चिपुरम्	Kanchipuram
हरिप्रसाद चौरासिया	Hariprasad Chaurasia
बरेली	Bareli
वारङ्गल् दुर्गम्	Warangal
तबला (वाद्यम्)	Tabla
भारतीयसर्वोच्चन्यायालयः	Cour suprême de l'Inde
प्रकृतिचिकित्सा	Naturopathie
विराट् कोहली	Virat Kohli
पणजी	Panaji
वितस्ता	Jhelum (rivière)
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	Arthur Eddington
नारिकेलतैलम्	Huile de coco
कावेरीनदी	Cauvery
नालन्दाविश्वविद्यालयः	Nâlandâ
चम्पा	Royaume de Champā
चन्द्रभागा	Chenab
हर्षवर्धनः	Harsha
रागः	Râga
मोरारजी देसाई	Morarji Desai
नारङ्गफलरसः	Jus d'orange
दलितजनः	Intouchable (Dalit)
आर् लेनेक् मानारल्	René-Théophile-Hyacinthe Laennec
नाविकनीलः	Bleu outremer
डैरेन गिब्सन	Darron Gibson
ध्रुवीय उपग्रह प्रक्षेपण यानम्	Polar Satellite Launch Vehicle
कन्याकुमारी	Kânyâkumârî
जेम्स ३	Jacques III d'Écosse
श्वेतपत्रम्	Livre blanc
काजल् अगरवाल्	Kajal Aggarwal
मेरी १	Marie Ire
एलिजाबेथ	Élisabeth
कनिष्ठिका	Auriculaire (anatomie)
हिप्पोक्रेटस	Hippocrate (homonymie)
मधुरै	Madurai
कलियुगम्	Kali Yuga
भारतस्य राष्ट्रियपञ्चाङ्गम्	Calendrier national indien
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	Organisation indienne pour la recherche spatiale
कस्तूरिमृगः	Moschidae
लोकसभा	Lok Sabha
अण्णा हजारे	Anna Hazare
पतञ्जलिः	Patañjali
भीमराव रामजी अम्बेडकर	Bhimrao Ramji Ambedkar
बोअ क्वोन्	BoA
माधुरी दीक्षित	Madhuri Dixit
जम्बूफलम्	Jamelonier
कोशातकी	Luffa
अटल बिहारी वाजपेयी	Atal Bihari Vajpayee
अक्षय कुमार	Akshay Kumar
पञ्चतन्त्रम्	Pañchatantra
नर्मदानदी	Narmada
मगधदेश:	Magadha
कोहिमा	Kohima
बिल्वः	Aegle marmelos
शिग्रुः	Moringa oleifera
श्रीविजयराजवंशः	Sriwijaya
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	Parti communiste d'Inde (marxiste)
एलिजबेत् ब्ल्याक्वेल्	Elizabeth Blackwell
आल्लाह्	Allah
भक्तिवेदान्तस्वामी प्रभुपादः	A.C. Bhaktivedanta Swami Prabhupada
शुष्कफलानि	Fruit sec
जेम्स १ (स्काटलैंड)	Jacques Ier d'Écosse
के आर् नारायणन्	Kocheril Raman Narayanan
रुत् प्रवर् जब्वाला	Ruth Prawer Jhabvala
केवलादेव्-राष्ट्रियोद्यानम्	Parc national de Keoladeo
छत्रपतिशिवाजीटर्मिनस्	Chhatrapati Shivaji Terminus
गोकुरासस्यम्	Tribule terrestre
अथर्ववेदः	Atharva-Véda
पाण्डवाः	Pandava
सामवेदः	Sama-Véda
कटिः	Taille (anatomie)
सुरेन्द्रनगरमण्डलम्	District de Surendranagar
सोलापुरम्	Solapur
कल्पना चावला	Kalpana Chawla
दाण्डीयात्रा	Marche du sel
डेविड २	David II d'Écosse
छत्रपति शिवाजी	Shivaji
ॐ मणि पद्मे हूँ	Om mani padme hum
मिन्दौगः	Mindaugas
सहारनपुरम्	Saharanpur
जैसलमेर	Jaisalmer
भावनगरम्	Bhavnagar
झान्सी	Jhansi
गोरखपुरम्	Gorakhpur
लाल बहादूर शास्त्री	Lal Bahadur Shastri
राज्यसभा	Rajya Sabha
कृष्णनिम्बपत्रम्	Kaloupilé
महर्षि महेश योगी	Maharishi Mahesh Yogi
ऐन्डर्स लिनडेगार्ड	Anders Lindegaard
भारतद्वारम्	Porte de l'Inde (New Delhi)
इन्द्र कुमार गुजराल	Inder Kumar Gujral
विचिटा	Wichita (homonymie)
सरोजिनी नायुडु	Sarojini Naidu
गया	Gaya (Inde)
कोडैक्यानल्	Kodaikanal
सौत्रान्तिकाः	Sautrāntika
सुब्रह्मण्य भारती	Subramanya Bharathi
यष्टी	Réglisse
अमरेलीमण्डलम्	District d'Amreli
गोराणी	Cyamopsis tetragonoloba
कस्तूरबा	Kasturba Gandhi
आरण्यकम्	Aranyaka
अस्थि	Os
मिल्खा सिंह	Milkha Singh
जार्ज ५	George V
बेळगावी	Belgaum
इन्दोनेशिया राष्ट्रपति सूची	Liste des présidents de la République d'Indonésie
कवरत्ती	Kavaratti
विन्ध्यः	Vindhya
दिसपुर	Dispur
बाष्पस्थाली	Autocuiseur
जेम्स २ (स्काटलैंड)	Jacques II d'Écosse
हरिद्वारम्	Haridwar
पी वी नरसिंह राव्	Pamulaparthi Venkata Narasimha Rao
ग्रन्थसम्पादनप्रविधिः	Critique textuelle
सीताफलम्	Annona
आम्ब्रोस् पारे	Ambroise Paré
कारैकल्	Karikal
यानम्, पाण्डीचेरी	Yanaon
माहे	Mahé (Inde)
नोयडा	Noida
चरकः	Charaka
श्वेताम्बरः सम्प्रदायः	Svetambara
जार्ज ६	George VI
शिवमोग्गामण्डलम्	Shimoga
रा वन् (चलच्चित्रम्)	Voltage (film)
स्वामी रामदेवः	Swami Ramdev
रमणमहर्षिः	Ramana Maharshi
कोटो (वाद्यम्)	Koto
राबर्ट ३	Robert III d'Écosse
लियाण्डर् पेस्	Leander Paes
जार्ज् वाशिङ्ग्टन् कार्वर्	George Washington Carver
डयोस्कोरिडीस्	Dioscoride
आर् वेङ्कटरामन्	Ramaswamy Venkataraman
मडिकेरी	Madikeri
भरतः	Bharata
इडुक्की मण्डलम्	Idukki (district)
वलसाड	Valsad
अरविन्दाश्रमः	Ashram de Sri Aurobindo
मरीचिका (भौतविज्ञानम्)	Mirage
धात्री	Amla
जाह्न बालियोल	Jean d'Écosse
बलासस्यम्	Sida (genre végétal)
बेन अमोस	Ben Amos
हीरोफिलस्	Hérophile
परमहंसयोगानन्‍दः	Paramahansa Yogananda
कबीरदासः	Kabîr
अश्वघोषः	Ashvaghosha
महेशभूपतिः	Mahesh Bhupathi
बालगङगाधरतिलकः	Bal Gangadhar Tilak
वि वि गिरि	Varahagiri Venkata Giri
राबर्ट २	Robert II d'Écosse
खान् अब्दुल् गफार् खान्	Khan Abdul Ghaffar Khan
गुरु गोविन्द सिंह	Guru Gobind Singh
तुलसीदासः	Tulsîdâs
गोपालकृष्ण गोखले	Gopal Krishna Gokhale
भारतस्य राष्ट्रपतिः	Président de l'Inde
अनिलकपूरः	Anil Kapoor
जगदीश चन्द्र बसु	Jagadish Chandra Bose
ज्योतिराव गोविन्दराव फुले	Mahatma Jyotirao Phule
बिन्दुसारः	Bindusâra
गुलजारीलाल नन्दा	Gulzarilal Nanda
फखरुद्दीन अली अहमद	Fakhruddin Ali Ahmed
इरावती	Ravi (rivière)
सिलवासा	Silvassa
जिरोलावो फ्राकास्टोरो	Girolamo Fracastoro
चौधरी चरणसिंह	Charan Singh
जमशेदजी टाटा	Jamsetji Tata
देवानन्दः	Dev Anand
बीजपूरफलम्	Psidium
अभिज्ञानशाकुन्तलम्	La Reconnaissance de Shâkountalâ
अभिनवगुप्तः	Abhinavagupta
कोल्लम्	Quilon
मनुस्मृतिः	Lois de Manu
भारतरत्नम्	Bharat Ratna
घृतम्	Ghi
भारतीयसंस्कृतिः	Culture indienne
सारनाथम्	Sarnath
राकेश शर्मा	Rakesh Sharma
विक्रम साराभाई	Vikram Sarabhai
होमी जहाँगीर भाभा	Homi Jehangir Bhabha
मावेन् अन्तरिक्षयानम्	MAVEN
उत्पतनी	Trampoline (appareil)
मत्स्यावतारः	Matsya
मेरी कोम्	Mary Kom
वेदव्यासः	Vyāsa
कोटा	Kota (Rajasthan)
मोरादाबाद्	Moradabad
भारतीयवायुसेना	Force aérienne indienne
भीमबेट्का-शिलाश्रयाः	Bhimbetka
शङ्कर दयाल शर्मा	Shankar Dayal Sharma
लूथर् बर्ब्याङ्क्	Luther Burbank
भरतनाट्यम्	Bharata natyam
आर के नारायणन्	R. K. Narayan
चन्द्रशेखरसिंह	Chandra Shekhar
काजी नजरुल इसलाम	Kazi Nazrul Islam
ज्ञानी जैल सिंह	Giani Zail Singh
मसानबु फ़ुकोका	Masanobu Fukuoka
जयदेव आचार्यः	Jayadeva (poète hindou)
भर्तृहरिः	Bhartrihari
मध्वाचार्यः	Madhva
नीलं सञ्जीव रेड्डि	Neelam Sanjiva Reddy
गीर अभयारण्यम्	Parc national et sanctuaire faunique de Gir
एरण्डतैलम्	Huile de ricin
नोबल पुरस्कार-विजेतानां सूची	Liste des lauréats du prix Nobel
धरणी	Beam
जेम्स १	Jacques Ier
भारतीयनौसेना	Marine indienne
हिन्दुस्थानवैमानिकसंस्था (HAL)	Hindustan Aeronautics
आदिवासिनः	Aborigènes de l'Inde
जरनैल सिंह भिण्डरांवाले	Jarnail Singh Bhindranwale
माषः	Haricot urd
गुरु अर्जुन दास	Guru Arjan
गुरु अङ्गद देव	Guru Angad
रायपुर	Raipur
धार्मिकपर्वाणि	Fête religieuse
भारतीयदर्शनशास्त्रम्	Philosophie indienne
एरासिस्ट्राटस्	Érasistrate
दिलीप कुमार	Dilip Kumar
भगत सिंह	Bhagat Singh
राजेन्द्रकुमारः पचौरि	Rajendra Kumar Pachauri
एच्. डी. देवे गौडा	Haradanahalli Dodde Deve Gowda
बङ्किमचन्द्र चट्टोपाध्याय	Bankim Chandra Chatterji
मेघनाद साहा	Meghnad Saha
चक्रवर्ती राजगोपालाचारी	Chakravarti Rajagopalachari
उशीरसस्यम्	Chrysopogon zizanioides
करौली	Karauli
धर्मेन्द्र	Dharmendra
बिस्मिल्ला खान	Bismillah Khan
विक्रम सेठ	Vikram Seth
अजीम प्रेमजी	Azim Premji
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	Économies d'énergie
कार्तिकेयः	Kârttikeya
ध्यानचन्द	Dhyan Chand
राजसर्षपः	Moutarde noire
दुर्गा	Dourgâ
सुश्रुतः	Sushruta
महाभाष्यम्	Mahābhāṣya
गीतगोविन्दम्	Gita-Govinda
अग्निः	Agni (dieu)
भारतीय-प्रीमियर् लीग्	Indian Premier League
जेम्स २	Jacques II
जाह्न	John
आगमः	Agama
अहमदाबादमण्डलम्	District d'Ahmedabad
अहमदनगरमण्डलम्	District d'Ahmadnagar
मातारामराजवंशः	Royaume de Mataram
कारगिलयुद्धम्	Conflit de Kargil
शरत् चन्द्र चट्टोपाध्याय	Saratchandra Chattopadhayay
ऐहोळे	Aihole
अजमेरमण्डलम्	District d'Ajmer
यवाग्रजः	Ajowan
सुशील कोइराला	Sushil Koirala
खाद्यतैलम्	Huile alimentaire
कारवेल्लम्	Momordica charantia
बळ्ळारीमण्डलम्	Bellary
पाटलः	Rose (couleur)
कृष्णजन्माष्टमी	Janmashtami
काल्मेट् लियान् चारल्स् आल्बर्ट्	Albert Calmette
अलवरमण्डलम्	District d'Alwar
अमर गोपाल बोस	Amar Bose
अमरनाथः	Grottes d'Amarnath
अम्बाला	Ambala
अम्बेडकरनगरमण्डलम्	District d'Ambedkar Nagar
आमेर	Amber
बीदरनगरम्	Bîdâr
सोलन्	Solan
महाबळेश्वरम्	Mahabaleshwar
सायना नेहवाल	Saina Nehwal
एनी बेसन्ट्	Annie Besant
जयललिता	Jayalalithaa
ममता ब्यानर्जी	Mamata Banerjee
विजयलक्ष्मी पण्डित	Vijaya Lakshmi Pandit
अञ्जु बाबी जार्ज्	Anju Bobby George
एम् एस् सुब्बुलक्ष्मी	M. S. Subbulakshmi
माता अमृतानन्‍दमयी	Mata Amritanandamayi
सुल्ताना ऱसीया	Sultan Razia
मीराबाई	Mirabaï
होय्सळवंशः	Hoysala
आसनम्	Asana
कनिमोऴि	Kanimozhi
कर्णम मल्लेश्वरी	Karnam Malleswari
गुरु हरकिशन	Guru Har Krishan
विजय् अमृतराज्	Vijay Amritraj
लाल कृष्ण आडवाणी	Lal Krishna Advani
जे.आर्.डि.टाटा	Jehangir Ratanji Dadabhai Tata
अलि अक्बर् खान्	Ali Akbar Khan
साधुः तुकारामः	Toukaram
धीरूभाई अम्बाणी	Dhirubhai Ambani
श्री श्री रविशङ्करः	Ravi Shankar (guru)
तानसेनः	Tansen
बाबा आमटे	Baba Amte
सर् जेम्स् सिम्सन्	James Young Simpson
प्रथम कुमारगुप्तः	Kumâragupta Ier
राहुल द्रविड	Rahul Dravid
महेन्द्र सिंह धोनी	Mahendra Singh Dhoni
विनायक दामोदर सावरकर	Vinayak Damodar Savarkar
एडवर्ड बालियोल	Édouard Balliol
लवनीयम्	Annona reticulata
विवाहसंस्कारः	Vivaha
कूर्मावतारः	Kûrma
भारतस्य संविधानम्	Constitution de l'Inde
चार्वाकदर्शनम्	Chârvâka
गोमतीनदी	Gomtî
कशेरुः	Colonne vertébrale
लुईस नानी	Nani
मानवरहितविमानम्	Drone
मुहम्मद इकबाल	Mohamed Iqbal
मुद्गः	Haricot mungo
औरङ्गजेबः	Aurangzeb
आणन्दमण्डलम्	District d'Anand
नद्यावली विस्तारः च	Liste des plus longs cours d'eau
हुमायून्	Humayun
श्रीगङ्गानगरम्	Sri Ganganagar
व.उ.चिदम्बरम् पिळ्ळै	V. O. Chidambaram Pillai
शक्तिदेवी	Devî
२०१४ एशिया क्रीडाः	Jeux asiatiques de 2014
है हे नदी	Hai He
हृषीकेशः	Rishikesh
अ	Voyelle pré-ouverte centrale
सन्तूर् (वाद्यम्)	Santour
मानसवन्यजन्तुधाम	Parc national de Manas
ज्	Consonne fricative alvéolaire voisée
मणिपुरीनृत्यम्	Manipuri (danse)
एजिकील् फ्रैएर्स्	Ezekiel Fryers
दादा साहेब फाळके	Dhundiraj Govind Phalke
मडगांव	Margao
अकोलामण्डलम्	District d'Akola
किङ्ग्स् ११ पञ्जाबः	Kings XI Punjab
सबाधधावनम्	Course de haies
दक्षिणभारतम्	Inde du Sud
बृहदारण्यकोपनिषत्	Brihadaranyaka Upanishad
कगायान	Cagayan (fleuve)
नाट्यशास्त्रम् (ग्रन्थः)	Nâtya-shâstra
प्राचीनगोवा	Vieille Goa
बि.के.एस्. अय्यङ्गार्	Bellur Krishnamachar Sundararaja Iyengar
कपिलदेवः	Kapil Dev
दिङ्नागः	Dignāga
भरतपुरम्	Bharatpur (Rajasthan)
अनुपम खेर	Anupam Kher
चित्तरञ्जन दास	Chitta Ranjan Das
सौरभ गाङ्गुली	Sourav Ganguly
उशनाः	Shukra
वडोदरामण्डलम्	District de Vadodara
उत्तरकन्नडमण्डलम्	District de Uttara Kannada
पाटण	Patan (Inde)
उडुपीमण्डलम्	Udupi
बलियामण्डलम्	District de Ballia
त्रिभुवन विश्वविद्यालय	Université Tribhuvan
बदरीनाथः	Badrinath
अमरकण्टक	Amarkantak
अनूपपुरम्	Anuppur
अशोकनगरम्	Ashok Nagar
अमरेली	Amreli
एडवर्ड ८	Édouard VIII
अरोविले	Auroville
बादामी	Badami
औरङ्गाबादमण्डलम्	District d'Aurangabad
कुरुक्षेत्रम्	Kurukshetra
न्यायदर्शनम्	Nyâya
राजसमन्दमण्डलम्	District de Rajsamand
सिन्धुलिपिः	Écriture de l'Indus
भारतीयमानकसमयः	Heure normale de l'Inde
कुसुमकन्दरराष्ट्रियोद्यानम्	Parc national de la Vallée des fleurs
हितोपदेशः	Hitopadesha
आग्रामण्डलम्	District d'Agra
सोनभद्रमण्डलम्	District de Sonbhadra
रमाबायीनगरमण्डलम्	District de Kanpur Dehat
पश्चिमसिक्किममण्डलम्	District du Sikkim occidental
अनुस्वारः	Anusvāra
कन्नौज	Kânnauj
सेवफलरसः	Jus de pomme
भारतस्य राष्ट्रियग्रन्थालयः	Bibliothèque nationale d'Inde
रसः	Rasa (esthétique)
भारतीयप्रौद्योगिकसंस्थानानि (IIT)	Instituts indiens de technologie
दधि	Caillé
कर्णवेधसंस्कारः	Karnavedha
अरावली	Aravalli
कन्नौजमण्डलम्	District de Kannauj
गुरु हर राय	Gurū Har Rai
साबरमतीनदी	Sabarmati
दीव	Diu
जबलपुरमण्डलम्	District de Jabalpur
तुवरी	Pois d'Angole
बाराबङ्कीमण्डलम्	District de Barabanki
बांसवाडा	Bânsvâra
नारिकेलजलम्	Eau de coco
कारैकलमण्डलम्	District de Karaikal
माहेमण्डलम्	District de Mahé
पाण्डीचेरीनगरम्	Pondichéry
स्त्रीशिक्षणम्	Condition des femmes en Inde
रावेल मॉरिसन	Ravel Morrison
एलिफेण्टागुहाः	Grottes d'Elephanta
सर्वभारतीय-अण्णा द्राविड मुन्नेत्र कळगम् (ए आइ ए डि एम् के)	All India Anna Dravida Munnetra Kazhagam
शुङ्गवंशः	Dynastie Shunga
वैशेषिकदर्शनम्	Vaisheshika
चणकपिष्टम्	Farine de pois chiche
फीरोजपुर	Firozpur
कूष्माण्डम्	Courge cireuse
श्रीरङ्गपट्टणम्	Srirangapatna
सिर्मौरमण्डलम्	District de Sirmaur
स्थिरवलयलम्	Anneaux
बाबरी मस्जिद	Mosquée de Babri
गान्धिजयन्ती	Gandhi Jayanti
खोर्धा मण्डलम्	District de Khordha
वेष्ट्-इण्डीस्	Caraïbes
देहलीविश्वविद्यालयः	Université de Delhi
केरळस्य सागरपूर्वजलप्रवासः	Backwaters
मसूरी	Mussoorie
रागीपानीयम्	Gaudes
तापीमण्डलम्	District de Tapi
बून्दीमण्डलम्	District de Bundi
श्रीकाकुलम्	Srikakulam
जोग जलपातः	Chutes de Jog
हेन्री ७	Henri VII (roi d'Angleterre)
तेलङ्गाणाराज्यम्	Télangana
राष्ट्रपतिभवनम्	Rashtrapati Bhavan
सत्यमेव जयते	Satyameva jayate
श्रीमद्भागवतपुराणम्	Bhagavata Purana
पिप्पली	Poivrier long
अबनीन्द्रनाथ ठाकुर	Abanîndranâth Tagore
शौचम्	Propreté
युग्मदण्डम्	Barres parallèles
नान्देडमण्डलम्	District de Nanded
मौण्ट् अबु	Mont Abu
महाचोळमन्दिराणि	Grands temples vivants Chola
संसद्‍ (भारतम्)	Parlement de l'Inde
तापीनदी	Tapti
औदुम्बरवृक्षः	Ficus racemosa
बस्ति, उत्तरप्रदेशः	District de Basti
वाल्मीकिः	Vâlmîki
आर्यसमाजः	Ārya-Samāj
इक्षुरसः	Vesou
शाल्मलिः	Bombax
गुरुवायूर्	Guruvayur
बेलं गुहा	Grottes Belum
अष्टाङ्गयोगः	Ashtanga Vinyasa Yoga
काङ्ग्रामण्डलम्	District de Kangra
बिम्बफलम्	Coccinia grandis
ऋग्वेदः	Rig-Véda
देवरियामण्डलम्	District de Deoria
जयप्रकाश नारायण	Jayaprakash Narayan
केदैञै	Kėdainiai
सायणः	Sâyana
विनोद खोसला	Vinod Khosla
डेल्ली डेर्डेविल्स्	Delhi Daredevils
केदारनाथः	Kedarnath
प्राचीनज्योतिषम्	Astrologie indienne
जीन् फ्रान्स्व फर्नेल्	Jean Fernel
डुङ्गरपुरम्	Dungarpur
काव्यविमर्शः	New criticism
इन्दौरमण्डलम्	District d'Indore
मृदङ्गः (वाद्यम्)	Mridang
अश्वारोहक्रीडा	Bouzkachi
नागार्जुनकोण्ड	Nagarjunakonda
पुष्करनगरम्	Pushkar
भारतस्य सूर्यमन्दिराणि	Konârak
कोणार्कमन्दिरम्	Temple de Sûrya (Konârak)
बाङ्गलालिपिः	Alphasyllabaire bengali
अन्ताराष्ट्रिय-साक्षरतादिनम्	Journée internationale de l'alphabétisation
अशोकवृक्षः	Arbre ashoka
भरुच	Bharuch
बेलूरु	Belur
अलिगढमण्डलम्	District d'Aligarh
सिन्धुदुर्गमण्डलम्	District de Sindhudurg
बसवेश्वरः	Basava
तैत्तिरीयोपनिषत्	Taittiriya Upanishad
महादेवभाई देसाई	Mahadev Desai
नैनिताल	Nainital
छान्दोग्योपनिषत्	Chāndogya Upaniṣad
गंजम् मण्डलम्	District de Ganjam
रमोन् मैग्सेसे-पुरस्कारः	Prix Ramon Magsaysay
बीकानेरमण्डलम्	District de Bikaner
स्केटिङ्ग्	Patin à glace
भारतीय प्रौद्यौगिकी संस्थानम् कानपुर्	Institut indien de technologie de Kanpur
वार्तकीरसः	Jus de tomate
अझमगढमण्डलम्	District d'Azamgarh
सद्गुरु जग्गी वासुदेव	Sadhguru
बि एम् डब्ल्यू सिक्स् सीरीज्	BMW Série 6
अण्डमाननिकोबारद्वीपसमूहस्य मण्डलानि	Liste des districts des îles Andaman et Nicobar
बिजनौर	Bijnor
बि एम् डब्ल्यू (i8)	BMW i8
निकोबारमण्डलम्	District de Nicobar
बाबरः	Babur
भुज	Bhuj
सरस्‍वती नदी	Ghaggar
बहुजनसमाज-पक्षः	Bahujan Samaj Party
बनासकाठामण्डलम्	District de Banaskantha
बान्धवगढराष्ट्रियोद्यानम्	Parc national de Bandhavgarh
बांसवाडामण्डलम्	District de Bansvara
