Африк	Afrique
Компьютерын вирус	Virus informatique
Чернобылийн осол	Catastrophe nucléaire de Tchernobyl
Милан	Milan
Артюр Рембо	Arthur Rimbaud
Турин	Turin
Нимбэг	Citron
Гадил	Banane
Марианы хонхор	Fosse des Mariannes
Владимир Высоцкий	Vladimir Vyssotski
Жомолунгма	Everest
Хот	Ville
Наполеон I Бонапарт	Napoléon Ier
Од	Étoile
Нар	Soleil
Луи Пастер	Louis Pasteur
Гэрлийн жил	Année-lumière
Виктор Гюго	Victor Hugo
Нарны аймаг	Système solaire
Балтын тэнгис	Mer Baltique
Висла мөрөн	Vistule
Устөрөгч	Hydrogène
Викимедиа Коммонс	Wikimedia Commons
Ангела Меркель	Angela Merkel
Ном	Livre (document)
Хоног	Jour
Зүүн Тимор	Timor oriental
Шөнө	Nuit
Жил	Année (calendrier)
Зуун	Siècle
Лодзь	Łódź
Рейн мөрөн	Rhin
Осло	Oslo
Бонн	Bonn
Хар нүх	Trou noir
Луис Камоэнс	Luís de Camões
Гэй	Gay (homosexualité)
Церера	(1) Cérès
Лиссабон	Lisbonne
Хаумеа	(136108) Hauméa
Макемаке	(136472) Makémaké
Эрида	(136199) Éris
Дубай хот	Dubaï (ville)
Лионель Месси	Lionel Messi
Николай Коперник	Nicolas Copernic
Нүүрстөрөгч	Carbone
Алессандро Дель Пьеро	Alessandro Del Piero
Ижил	Volga
Азот	Azote
Хүчилтөрөгч	Oxygène
Интернационале	FC Internazionale Milano
Гариг	Planète
VII Клеопатра	Cléopâtre VII
Хөгжим	Musique
Венец	Venise
Нарүто	Naruto
Нева мөрөн	Neva
Москва	Moscou
Фтор	Fluor
Итали хэл	Italien
Санкт-Петербург	Saint-Pétersbourg
Натри	Sodium
Магни	Magnésium
Хөнгөн цагаан	Aluminium
Шинэ Зеланд	Nouvelle-Zélande
Энэтхэг	Inde
Цахиур	Silicium
Тувалу	Tuvalu
Уан Пийс	One Piece
Фосфор (химийн элемент)	Phosphore
Андре Мари Ампер	André-Marie Ampère
Хүүрнэл зохиол	Prose
Төмөр (химийн элемент)	Fer
Тонга	Tonga
Хүхэр	Soufre
Дорно	Est
Вануату	Vanuatu
Мольер	Molière
Уильям Шекспир	William Shakespeare
Өмнө Холланд	Hollande-Méridionale
Палау	Palaos
Аргон	Argon
Науру	Nauru
Умар Холланд	Hollande-Septentrionale
Микронезийн Холбооны Улс	Micronésie (pays)
Лионы Олимпик	Olympique lyonnais
Кальци	Calcium
Хар тугалга	Plomb
Маршаллын арлууд	Îles Marshall
Кирибати	Kiribati
Монгол Улс	Mongolie
Фижи	Fidji
Венесуэл	Venezuela
Шатар	Échecs
Чингис хаан	Gengis Khan
Мэн	Maine (État)
Хром	Chrome
Адуу	Cheval
Амстердам	Amsterdam
Амьтан	Animal
Суринам	Suriname
Манган	Manganèse
Парагвай	Paraguay
Гайана	Guyana
Урлаг	Art
Эквадор	Équateur (pays)
Рени	Rhénium
Колумб	Colombie
Кобальт	Cobalt
Гүзээлзгэнэ	Fragaria
Буддын шашин	Bouddhisme
Гронинген хот	Groningue (ville)
Боливи	Bolivie
Зэс	Cuivre
Тринидад ба Тобаго	Trinité-et-Tobago
Ургамал	Plante
Цайр	Zinc
Нью-Хэмпшир	New Hampshire
Леонардо да Винчи	Léonard de Vinci
Сент-Китс ба Невис	Saint-Christophe-et-Niévès
Ямайк	Jamaïque
Гренад улс	Grenade (pays)
Массачусеттс	Massachusetts
Гватемал	Guatemala
Гелдерланд	Gueldre (province)
Коннектикут	Connecticut
Хавай	Hawaï
Гондурас	Honduras
Умард мөсөн далай	Océan Arctique
Гаити	Haïti
Иран улс	Iran
Ирак	Irak
Аляска	Alaska
Коста-Рика	Costa Rica
Израиль	Israël
Утрехт хот	Utrecht
Панам	Panama
Йемен	Yémen
Вирус	Virus
Польш хэл	Polonais
Иордан	Jordanie
Никарагуа	Nicaragua
Флорида	Floride
Кыргызстан	Kirghizistan
Аризона	Arizona
Кувейт	Koweït
Лаос	Laos
Ливан	Liban
Орегон	Oregon
Мальдив	Maldives
Америк тив	Amérique
Юта	Utah
Малайз	Malaisie
Михаил Булгаков	Mikhaïl Boulgakov
Мьянмар	Birmanie
Балба	Népal
Оман	Oman
Пакистан	Pakistan
Катар	Qatar
Теннис	Tennis
MySQL	MySQL
Саудын Араб	Arabie saoudite
Шри-Ланка	Sri Lanka
Иосиф Сталин	Joseph Staline
Шугаман код	Code-barres
Сири	Syrie
Платон	Platon
Тажик улс	Tadjikistan
Бүгд Найрамдах Хятад Улс	Taïwan
Германи	Germanium
Аристотель	Aristote
Тайланд	Thaïlande
Галт тэрэг	Train
Радио	Radiodiffusion
Мерил Стрип	Meryl Streep
Туркменистан	Turkménistan
Абакан	Abakan
Арабын Нэгдсэн Эмирт Улс	Émirats arabes unis
Вьетнам	Viêt Nam
Чарльз Спенсер Чаплин	Charlie Chaplin
Новосибирск	Novossibirsk
Өмнөд Солонгос	Corée du Sud
Екатеринбург	Iekaterinbourg
Афганистан	Afghanistan
Доод Новгород	Nijni Novgorod
Жон Толкин	J. R. R. Tolkien
Самар хот	Samara (Russie)
Алт	Or
Омск	Omsk
Суэцийн суваг	Canal de Suez
Казань	Kazan
Бангладеш	Bangladesh
Блич	Bleach (manga)
Франц Кафка	Franz Kafka
Челябинск	Tcheliabinsk
Донын Ростов	Rostov-sur-le-Don
Уфа	Oufa
Мали	Mali
Сократ	Socrate
Волгоград	Volgograd
Ангол	Angola
Пермь	Perm
Бутан	Bhoutan
Твиттер	Twitter
Красноярск	Krasnoïarsk
Бруней	Brunei
Танзани	Tanzanie
Мөнгөн ус	Mercure (chimie)
Филиппин	Philippines
Үзүмаки Нарүто	Naruto Uzumaki
Өмнөд туйл	Pôle Sud
Умард туйл	Pôle Nord
Исаак Ньютон	Isaac Newton
Альберт Эйнштейн	Albert Einstein
Иттри	Yttrium
Висмут	Bismuth
Квант механик	Mécanique quantique
Дональд Туск	Donald Tusk
Тунис	Tunisie
Жон Бардин	John Bardeen
Замби	Zambie
Зимбабве	Zimbabwe
Бээжин	Pékin
Владивосток	Vladivostok
Бүгд Найрамдах Тува Улс	Touva
Бенин	Bénin
Ботсвана	Botswana
Бурунди	Burundi
Бүгд Найрамдах Конго Улс	République du Congo
Обь	Ob
Бүгд Найрамдах Ардчилсан Конго Улс	République démocratique du Congo
Полони	Polonium
Бавар	Bavière
Баден-Вюртемберг	Bade-Wurtemberg
Эритрей	Érythrée
Шинэ Дели	New Delhi
II Иоанн Павел	Jean-Paul II
Фёдор Достоевский	Fiodor Dostoïevski
Камчаткын хойг	Kamtchatka
Тбилис	Tbilissi
Андрей Сахаров	Andreï Sakharov
Астат	Astate
Габон	Gabon
Махатма Ганди	Mohandas Karamchand Gandhi
Чукотын хойг	Péninsule tchouktche
Комикс	Bande dessinée
Гамби	Gambie
Гвиней	Guinée
Кот д'Ивуар	Côte d'Ivoire
Камерун	Cameroun
Лесото	Lesotho
Ливи	Libye
Ахен	Aix-la-Chapelle
Мадагаскар	Madagascar
Малави	Malawi
Штутгарт	Stuttgart
Мавритан	Mauritanie
Марокко	Maroc
Мозамбик	Mozambique
Намиби	Namibie
Нигер	Niger
Нигери	Nigeria
Чарльз Дарвин	Charles Darwin
Уганда	Ouganda
Руанда	Rwanda
Циркони	Zirconium
Карлсруэ	Karlsruhe
Сенегал	Sénégal
Карл Линней	Carl von Linné
Сьерра-Леоне	Sierra Leone
Сомали	Somalie
Жавахарлал Неру	Jawaharlal Nehru
Юлий Цезарь	Jules César
Судан	Soudan
Свазиланд	Swaziland
Солонго	Arc-en-ciel
Молибден	Molybdène
Бодисын солилцоо	Métabolisme
Онтарио нуур	Lac Ontario
Эволюци	Évolution (biologie)
Нэгдсэн Үндэстний Байгууллага	Organisation des Nations unies
Данте Алигери	Dante Alighieri
Геологи	Géologie
Ахмадабад	Ahmedabad
Газарзүй	Géographie
Зүрх	Cœur
Тархи	Cerveau
Арьс	Peau
Өнгө	Couleur
Нэр үг	Substantif
Прага	Prague
Роди	Rhodium
Мөнгө (химийн элемент)	Argent
Уран (химийн элемент)	Uranium
Умар Брабант	Brabant-Septentrional
Плутони	Plutonium
Анимэ	Anime
Цахилгаан цэнэг	Charge électrique
Бари	Baryum
Тори	Thorium
Актини	Actinium
Билл Клинтон	Bill Clinton
Индира Ганди	Indira Gandhi
Гектор Берлиоз	Hector Berlioz
Мумбай	Bombay
Андра Прадеш	Andhra Pradesh
Бихар	Bihar
Мичиган	Michigan
Аквитан муж	Aquitaine
Жарканд	Jharkhand
Карнатака	Karnataka
Мадхья-Прадеш	Madhya Pradesh
Усэйн Болт	Usain Bolt
Лимузен	Limousin
Махараштра	Maharashtra
Мекленбург – Өрнө Померан	Mecklembourg-Poméranie-Occidentale
Доор Саксон	Basse-Saxe
Хессен	Hesse (Land)
Жон Леннон	John Lennon
Иллиной	Illinois
Саксон-Анхальт	Saxe-Anhalt
Хойд Дакота	Dakota du Nord
Бранденбург	Brandebourg
Бремен муж	Brême (Land)
Ломбард муж	Lombardie
Өмнөд Дакота	Dakota du Sud
Вайоминг	Wyoming
Иерусалим	Jérusalem
Жиоржио Наполитано	Giorgio Napolitano
Айдахо	Idaho
Вашингтон Муж Улс	Washington (État)
Невада	Nevada
Энэтхэгийн далай	Océan Indien
Энрико Де Никола	Enrico De Nicola
Косово	Kosovo
Карибын тэнгис	Mer des Caraïbes
Хасси	Hassium
Кофи Аннан	Kofi Annan
Колорадо	Colorado
У Тант	U Thant
Колорадо мөрөн	Colorado (fleuve)
Даг Хаммаршёлд	Dag Hammarskjöld
Фредерик Шопен	Frédéric Chopin
Леонард Коэн	Leonard Cohen
Ангилал:Тулгуур	Catégorie:Accueil
Лацио муж	Latium
Альпийн нуруу	Alpes
Блез Паскаль	Blaise Pascal
Зуун буудалт даам	Dames
Дортмунд	Dortmund
Гент	Gand
Чикаго	Chicago
The Beatles	The Beatles
Маастрихт	Maastricht
Арнем	Arnhem
Өвөл	Hiver
Зун	Été
Осама бен Ладен	Oussama ben Laden
Испани хэл	Espagnol
Фридрих Хаек	Friedrich Hayek
Иоганн Себастьян Бах	Johann Sebastian Bach
Антонио Вивальди	Antonio Vivaldi
Тольятти	Togliatti
Дуурь	Opéra
Филадельфия	Philadelphie
Калькутта	Calcutta
Ченнай	Chennai
Дели	Delhi
Дакка	Dacca
Үет хөлтөн	Arthropode
Исламабад	Islamabad
Трипура	Tripura
Жимс	Fruit (botanique)
Сармагчин	Singe
Мөнгө	Monnaie
Виржини	Virginie (État)
Баруун Виржини	Virginie-Occidentale
Нью-Йорк Муж Улс	État de New York
Рөүд-Айленд	Rhode Island
Шавьж	Insecte
Мэрилэнд	Maryland
Делавар	Delaware
Владимир Ильич Ленин	Vladimir Ilitch Lénine
Охайо	Ohio
Вергилий	Virgile
Пеннсилвани	Pennsylvanie
Итерзен	Uetersen
Август Цезарь	Auguste
Windows	Microsoft Windows
Тибериус	Tibère
Калигула	Caligula
Гибралтар	Gibraltar
Клавдий	Claude (empereur romain)
Индиана муж	Indiana
Автомашин	Automobile
Ювентус	Juventus Football Club
Траян	Trajan
Рожер Федерер	Roger Federer
Жоржиа	Géorgie (États-Unis)
Антонини Пи	Antonin le Pieux
Марк Аврелий	Marc Aurèle
Загреб	Zagreb
Техас	Texas
Каракалла	Caracalla
Генуя	Gênes
Зүлэгний хоккей	Hockey sur gazon
Дэлдэн зараа	Hemiechinus auritus
Манила (Манил)	Manille
Себу	Cebu (ville)
Давао	Davao
Кесон	Quezon City
Калоокан	Caloocan
Корасон Акино	Corazon Aquino
Буэнос-Айрес	Buenos Aires
Мехико	Mexico
Токио	Tokyo
Барселон	Barcelone
Хан боргоцой	Ananas
Миссиссиппи	Mississippi (État)
Фернан Магеллан	Fernand de Magellan
Миссисипи мөрөн	Mississippi (fleuve)
Уттар Прадеш	Uttar Pradesh
Теннесси	Tennessee
Рихард Вагнер	Richard Wagner
Абижан хот	Abidjan
Абу-Даби хот	Abou Dabi (ville)
Астана	Astana
Нью-Мексико	Nouveau-Mexique
Афин	Athènes
Миннесота	Minnesota
Багдад	Bagdad
Каракас	Caracas
Висконсин	Wisconsin
Милан (хөлбөмбөгийн баг)	Associazione Calcio Milan
Айова	Iowa
Небраска	Nebraska
Канзас	Kansas
Гавана	La Havane
Хинди хэл	Hindi
Янжуур	Cigarette
Миссури	Missouri (État)
Георг Ом	Georg Ohm
Луйзиана	Louisiane
Кентакки	Kentucky
Арканзас	Arkansas
Нил Армстронг	Neil Armstrong
Урдү хэл	Ourdou
Чарльз Линдберг	Charles Lindbergh
Замбоанга	Zamboanga
Антиполо	Antipolo
Тагиг	Taguig
Оклахома	Oklahoma
Иохан Блэйк	Yohan Blake
Жастин Гэтлин	Justin Gatlin
Дунай мөрөн	Danube
Уоррен Вейр	Warren Weir
Кирани Жеймс	Kirani James
Лугелин Сантос	Luguelín Santos
Найжел Амос	Nijel Amos
Тауфик Махлуфи	Taoufik Makhloufi
Мо Фарах	Mohamed Farah
Эзекиль Кембой	Ezekiel Kemboi
Жейсон Ричардсон	Jason Richardson (basket-ball)
Хойд тэнгис	Mer du Nord
Москва муж	Oblast de Moscou
Неста Картер	Nesta Carter
Стивен Кипротич	Stephen Kiprotich
Подстам	Potsdam
Ханновер	Hanovre
Висбаден	Wiesbaden
Мюнхен	Munich
Жаред Таллент	Jared Tallent
Дрезден	Dresde
Волейбол	Volley-ball
Инсбрук	Innsbruck
Мутаз Эсса Баршим	Mutaz Essa Barshim
Вена	Vienne (Autriche)
Рено Лавиллени	Renaud Lavillenie
Бьёрн Отто	Björn Otto
Мадонна (дуучин)	Madonna
Копенхаген	Copenhague
Калининград муж	Oblast de Kaliningrad
Уилл Клэй	Will Claye
Стокгольм	Stockholm
Давид Шторль	David Storl
Мурманск муж	Oblast de Mourmansk
Дублин	Dublin
Рига	Riga
Герд Кантер	Gerd Kanter
Кристиан Парш	Krisztián Pars
Братислав	Bratislava
Будапешт	Budapest
Эштон Итон	Ashton Eaton
Майн дахь Франкфурт	Francfort-sur-le-Main
Вроцлав	Wrocław
Одон орны нэгж	Unité astronomique
Аче	Aceh
Калининград	Kaliningrad
Зинедин Зидан	Zinédine Zidane
Католик	Catholicisme
Люксембург (хот)	Luxembourg (ville)
Вадуц	Vaduz
Библи	Bible
Пномпень	Phnom Penh
Архангельск	Arkhangelsk
Хо Ши Мин хот	Hô-Chi-Minh-Ville
Иттерби	Ytterbium
Ханой	Hanoï
Есүс Христийн Жинхэнэ Сүм	Véritable Jésus Église
Англи хэл	Anglais
Бангкок	Bangkok
Андорра-ла-Велья	Andorre-la-Vieille
Куала Лумпур	Kuala Lumpur
Тайбэй	Taipei
Америци	Américium
Одесс	Odessa
Архангельск муж	Oblast d'Arkhangelsk
Донгхой	Đồng Hới
Консепшон	Concepción (Chili)
Беркли	Berkélium
Мемфис Депай	Memphis Depay
Петрозаводск	Petrozavodsk
Кальяри	Cagliari
Киев	Kiev
Онтарио	Ontario
Уго Льорис	Hugo Lloris
Матьё Дебюши	Mathieu Debuchy
Адиль Рами	Adil Rami
Йоан Кабай	Yohan Cabaye
Оливье Жиру	Olivier Giroud
Карим Бензема	Karim Benzema
Флоран Малуда	Florent Malouda
Бүгд Найрамдах Карель Улс	République de Carélie
Лоран Косельни	Laurent Koscielny
Патрис Эвра	Patrice Évra
Филипп Мексес	Philippe Mexès
Фрэнк Рибери	Franck Ribéry
Матьё Вальбуэна	Mathieu Valbuena
Самир Насри	Samir Nasri
Блез Матюиди	Blaise Matuidi
Антони Ревейер	Anthony Réveillère
Жереми Менез	Jérémy Ménez
Стив Манданда	Steve Mandanda
Хатем Бен Арфа	Hatem Ben Arfa
Гаэль Клиши	Gaël Clichy
Оттава	Ottawa
Эрик Абидаль	Éric Abidal
Жибриль Сиссе	Djibril Cissé
Вильям Галлас	William Gallas
Бакари Санья	Bacary Sagna
Андре-Пьер Жиньяк	André-Pierre Gignac
Себастьен Скиллачи	Sébastien Squillaci
Абу Диаби	Abou Diaby
Жереми Тулалан	Jérémy Toulalan
Жуба	Djouba
Манитоба	Manitoba
Альберта	Alberta
Нова Скоша	Nouvelle-Écosse
Ереван	Erevan
Вологда	Vologda
Фрэни Шнайдер	Vreni Schneider
Консковол (хот)	Końskowola
Нью-Брансвик	Nouveau-Brunswick
Бритиш Коламбиа	Colombie-Britannique
Принс Эдвардын Арал	Île-du-Prince-Édouard
2000 он	2000
2003 он	2003
2002 он	2002
2001 он	2001
Саскачеван	Saskatchewan
2012 он	2012
Кишимото Масаши	Masashi Kishimoto
2011 он	2011
2010 он	2010
2009 он	2009
2013 он	2013
2014 он	2014
2015 он	2015
Ньюфаундленд ба Лабрадор	Terre-Neuve-et-Labrador
2008 он	2008
JavaScript	JavaScript
Баруун Хойд Нутаг Дэвсгэр	Territoires du Nord-Ouest
Юкон	Yukon
2004 он	2004
2005 он	2005
2006 он	2006
Нунавут	Nunavut
2007 он	2007
1900 он	1900
1901 он	1901
Шарль де Голль	Charles de Gaulle
1902 он	1902
Флоренц	Florence
1903 он	1903
1904 он	1904
1905 он	1905
1907 он	1907
1906 он	1906
Жамби	Jambi (province)
Фиорентина	Associazione Calcio Fiorentina
1908 он	1908
1909 он	1909
1992 он	1992
1991 он	1991
1990 он	1990
1993 он	1993
Эссен	Essen
1994 он	1994
1995 он	1995
1996 он	1996
Дэвид Линч	David Lynch
Коми	République des Komis
1910 он	1910
1911 он	1911
1912 он	1912
Лайпциг	Leipzig
1913 он	1913
1914 он	1914
1915 он	1915
1916 он	1916
1997 он	1997
1998 он	1998
Нюрнберг	Nuremberg
1999 он	1999
1917 он	1917
1918 он	1918
Хоол	Nourriture
Дуйсбург	Duisbourg
Бохум	Bochum
Вупперталь	Wuppertal
Лампун	Lampung
Гэрлийн хурд	Vitesse de la lumière
Билефельд	Bielefeld
XML	Extensible Markup Language
Манхайм	Mannheim
Боде Миллер	Bode Miller
Умар Суматра	Sumatra du Nord
1 сарын 1	1er janvier
1 сарын 2	2 janvier
1920 он	1920
1 сарын 3	3 janvier
1919 он	1919
1921 он	1921
1922 он	1922
Лөнд	Lund (Suède)
1 сарын 4	4 janvier
1923 он	1923
Лэнс Армстронг	Lance Armstrong
1924 он	1924
Риау	Riau
Ленинград муж	Oblast de Léningrad
1 сарын 5	5 janvier
Мальмё	Malmö
1 сарын 6	6 janvier
Риау арлуудын муж	Îles Riau (province)
Электрон	Électron
1 сарын 7	7 janvier
1 сарын 8	8 janvier
1 сарын 9	9 janvier
1 сарын 10	10 janvier
Нижегород муж	Oblast de Nijni Novgorod
1 сарын 11	11 janvier
1 сарын 12	12 janvier
Колумб мөрөн	Columbia (fleuve)
Африкийн Сципион	Scipion l'Africain
1 сарын 13	13 janvier
Бирмингем	Birmingham
1 сарын 14	14 janvier
1 сарын 15	15 janvier
1 сарын 16	16 janvier
Том Хэнкс	Tom Hanks
1 сарын 17	17 janvier
1 сарын 18	18 janvier
1 сарын 19	19 janvier
1 сарын 20	20 janvier
Аж үйлдвэрийн хувьсгал	Révolution industrielle
Өмнө Суматра	Sumatra du Sud
1 сарын 21	21 janvier
1 сарын 22	22 janvier
1 сарын 23	23 janvier
Ромын эзэнт гүрэн	Empire romain
1 сарын 24	24 janvier
1 сарын 25	25 janvier
Минск	Minsk
1 сарын 26	26 janvier
Microsoft	Microsoft
1 сарын 27	27 janvier
1 сарын 28	28 janvier
1 сарын 29	29 janvier
1 сарын 30	30 janvier
1 сарын 31	31 janvier
Тверь муж	Oblast de Tver
Протон	Proton
12 сарын 2	2 décembre
12 сарын 1	1er décembre
12 сарын 3	3 décembre
12 сарын 7	7 décembre
12 сарын 5	5 décembre
12 сарын 8	8 décembre
12 сарын 10	10 décembre
12 сарын 6	6 décembre
12 сарын 9	9 décembre
Пинк Флойд	Pink Floyd
12 сарын 4	4 décembre
2 сарын 1	1er février
2 сарын 2	2 février
2 сарын 3	3 février
Куров	Kurów
2 сарын 4	4 février
2 сарын 5	5 février
2 сарын 6	6 février
2 сарын 7	7 février
2 сарын 8	8 février
2 сарын 9	9 février
2 сарын 10	10 février
Хими	Chimie
2 сарын 14	14 février
2 сарын 13	13 février
2 сарын 15	15 février
2 сарын 11	11 février
2 сарын 12	12 février
Робин ван Перси	Robin van Persie
2 сарын 19	19 février
2 сарын 17	17 février
2 сарын 16	16 février
2 сарын 18	18 février
2 сарын 20	20 février
Нейтрон	Neutron
2 сарын 21	21 février
2 сарын 22	22 février
2 сарын 23	23 février
2 сарын 24	24 février
2 сарын 25	25 février
2 сарын 26	26 février
2 сарын 27	27 février
2 сарын 28	28 février
12 сарын 11	11 décembre
2 сарын 29	29 février
12 сарын 12	12 décembre
12 сарын 13	13 décembre
12 сарын 14	14 décembre
12 сарын 15	15 décembre
3 сарын 2	2 mars
3 сарын 3	3 mars
3 сарын 5	5 mars
3 сарын 1	1er mars
3 сарын 7	7 mars
3 сарын 8	8 mars
3 сарын 4	4 mars
3 сарын 10	10 mars
3 сарын 11	11 mars
3 сарын 6	6 mars
3 сарын 13	13 mars
3 сарын 9	9 mars
3 сарын 12	12 mars
3 сарын 15	15 mars
3 сарын 14	14 mars
C++	C++
12 сарын 16	16 décembre
12 сарын 17	17 décembre
3 сарын 16	16 mars
3 сарын 17	17 mars
3 сарын 18	18 mars
