阿非利加洲	Afrique
席德	Rodrigo Díaz de Vivar
刳剔者傑克	Jack l'Éventreur
前一五六年	156 av. J.-C.
列奧尼達一世	Léonidas Ier de Sparte
前一三九年	139 av. J.-C.
前一二二年	122 av. J.-C.
前二〇六年	206 av. J.-C.
西爾門·拉什迪	Salman Rushdie
前二〇三年	203 av. J.-C.
化學鍵	Liaison chimique
槍	Lance
前一四一年	141 av. J.-C.
僧院	Monastère
白堊紀	Crétacé
前二〇九年	209 av. J.-C.
皮薩羅	Francisco Pizarro
點	Point (géométrie)
骰子	Dé
吉林省	Jilin
東海	Mer de Chine orientale
前二三二年	232 av. J.-C.
湖南省	Hunan
青海省	Qinghai
前一九七年	197 av. J.-C.
前二〇七年	207 av. J.-C.
前一八八年	188 av. J.-C.
矢	Flèche (arme)
前二〇五年	205 av. J.-C.
鮨	Sushi
前二〇八年	208 av. J.-C.
湖北省	Hubei
山西省	Shanxi
魔方	Rubik's Cube
伊洛瓦底省	Région d'Ayeyarwady
貴州省	Guizhou
京都議定書	Protocole de Kyoto
聯合國大會	Assemblée générale des Nations unies
乙酸	Acide acétique
安達曼海	Mer d'Andaman
前二〇四年	204 av. J.-C.
胡適	Hu Shi
莊子	Tchouang-tseu
清孝欽顯皇后	Cixi
陝西省	Shaanxi
Template:共享類	Modèle:Commonscat
三八三年	383
德文維基大典	Wikipédia en allemand
拋物線	Parabole
尿素	Urée
平假名	Hiragana
波斯文維基大典	Wikipédia en persan
質數	Nombre premier
五七二年	572
南北朝	Dynasties du Nord et du Sud
劉宋	Dynastie Song du Sud (420-479)
吾世	Minecraft
罷工	Grève
都羅山車驛	Gare de Dorasan
李舜臣汝諧	Yi Sun-sin
泰國地方	Provinces de Thaïlande
中華人民共和國地方	Administration territoriale de la République populaire de Chine
日本都道府縣	Préfectures du Japon
氧化物	Oxyde
合數	Nombre composé
因數	Diviseur
口琴	Harmonica
朝鮮灣	Golfe de Corée
Template:Taxobox	Modèle:Taxobox
繩文時代	Période Jōmon
魔法少女小圓	Puella Magi Madoka Magica
太極	Taiji (Philosophie)
平行	Parallélisme (géométrie)
極品飛車	Need for Speed (série)
海鳥	Oiseau de mer
琉球語	Langues ryūkyū
閩語	Min (langue)
莆仙語	Puxian
江西省	Jiangxi
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	Abdallah ben Abdelaziz al-Saoud
寧夏回族自治區	Ningxia
揚州市	Yangzhou
鎮江市	Zhenjiang
哈薩克文維基大典	Wikipédia en kazakh
嘉興市	Jiaxing
金華市	Jinhua
衢州市	Quzhou
台州市	Taizhou (Zhejiang)
舟山市	Zhoushan
石家莊市	Shijiazhuang
卡金納答	Kakinada
珠海	Zhuhai
韶關市	Shaoguan
東莞市	Dongguan
箜篌	Konghou
維吾爾文維基大典	Wikipédia en ouïghour
俄羅斯正教會	Patriarcat de Moscou et de toute la Russie
鯢	Salamandre géante de Chine
空師	Composante aérienne militaire
大名	Daimyō
南齊	Dynastie Qi du Sud
苗栗縣	Comté de Miaoli
色盲檢測圖	Test d'Ishihara
威氏鷸	Bécassine de Wilson
哈布斯堡氏	Habsbourg
中央銀行	Banque centrale
福州市	Fuzhou
南平市	Nanping
莆田市	Putian
三明市	Sanming
泉州市	Quanzhou
廈門市	Xiamen
漳州市	Zhangzhou
龍岩市	Longyan
寧德市	Ningde
西寧市	Xining
西遊記	La Pérégrination vers l'Ouest
三國演義	Les Trois Royaumes (roman)
水滸傳	Au bord de l'eau
鄂州市	Ezhou
福島縣	Préfecture de Fukushima
豬油	Saindoux
新竹縣	Comté de Hsinchu
鞍山市	Anshan (Liaoning)
羅馬治世	Pax Romana
克羅內克	Leopold Kronecker
康托爾	Georg Cantor
戴德金	Richard Dedekind
寒武紀	Cambrien
十六元數	Sédénion
神聖羅馬皇帝腓特烈一世	Frédéric Barberousse
前三八七年	387 av. J.-C.
盲文	Braille
千葉縣	Préfecture de Chiba
賽珍珠	Pearl Buck
聯合國秘書長	Secrétaire général des Nations unies
龐加萊	Henri Poincaré
西北水道	Passage du Nord-Ouest
十進制	Système décimal
烯烴	Alcène
皇祚	Kimi ga yo
氣壓	Pression atmosphérique
箸	Baguettes (couverts asiatiques)
南投縣	Comté de Nantou
標點符號	Ponctuation
英格蘭王表	Liste des monarques d'Angleterre
片假名	Katakana
民之旨	Jana Gana Mana
臺北一零一	Taipei 101
化學式	Représentation des molécules
波斯	Perse
群 (代數)	Groupe (mathématiques)
三十六計	Les 36 stratagèmes
天安門	Tian'anmen
波蘭球	Polandball
水星領航員	Aria (manga)
三角函數	Fonction trigonométrique
六四事件	Manifestations de la place Tian'anmen
趙紫陽	Zhao Ziyang
胡耀邦	Hu Yaobang
安樂死	Euthanasie
姓氏	Nom de famille
醛	Aldéhyde
規	Compas (géométrie)
物質之量	Quantité de matière
平安北道	Pyongan du Nord
咸鏡南道	Hamgyong du Sud
島國	État insulaire
華山	Mont Hua
桃園市	Comté de Taoyuan
尺規作圖	Construction à la règle et au compas
京都府	Préfecture de Kyoto
絕對值	Valeur absolue
羅賓漢	Robin des Bois
表數法	Système de numération
大阪府	Préfecture d'Osaka
瑪瑙	Agate
愛媛縣	Préfecture d'Ehime
圓錐曲線	Conique
海平面	Niveau de la mer
玄武	Tortue noire
羅馬皇帝表	Liste des empereurs romains
矢量空間	Espace vectoriel
距	Distance (mathématiques)
臺灣海峽	Détroit de Taïwan
山口縣	Préfecture de Yamaguchi
市盈率	Price Earning Ratio
神奈川縣	Préfecture de Kanagawa
中國地方	Région de Chūgoku
長野縣	Préfecture de Nagano
殷商	Dynastie Shang
色諾芬	Xénophon
兵庫縣	Préfecture de Hyōgo
廣州恆大淘寶蹴鞠會	Guangzhou Evergrande
關係 (數學)	Relation binaire
等價	Relation d'équivalence
主格	Nominatif
泰國灣	Golfe de Thaïlande
螳螂	Mantodea
維基大典:書海	Wikipédia:Ouvrages de référence
征夷大將軍	Shogun
春節	Nouvel an chinois
切腹	Seppuku
色盲	Daltonisme
彰化縣	Comté de Changhua
阿什莫爾島與卡捷島	Îles Ashmore-et-Cartier
農曆	Calendrier chinois
可樂	Cola
高知縣	Préfecture de Kōchi
道德經	Tao Tö King
萬有引力	Loi universelle de la gravitation
坐標幾何	Géométrie analytique
芬瑟島	Île Fraser
蹴鞠	Cuju
臺南市	Tainan
阮籍	Ruan Ji
與格	Datif
摩爾質量	Masse molaire
滿洲族	Mandchous
義大利半島	Péninsule italienne
袁枚	Yuan Mei
汽水	Soda
天象館	Planétarium
微積分	Calcul infinitésimal
岳陽市	Yueyang
東寧	Royaume de Tungning
李斯	Li Si
雲林縣	Comté de Yunlin
碗	Bol (vaisselle)
全等	Congruence (géométrie)
維多利亞港	Victoria Harbour
義勇軍進行曲	La Marche des Volontaires
數理物理	Physique mathématique
紅花	Carthame des teinturiers
庖人	Cuisinier
大正天皇	Taishō Tennō
主義	Isme
毛納洛峰	Mauna Loa
富牌國際機場	Aéroport international de Phú Bài
修道院	Abbaye
符節	Mot de passe
環 (代數)	Anneau (mathématiques)
環球小姐	Miss Univers
香川縣	Préfecture de Kagawa
曲線	Courbe
白求恩	Norman Bethune
中日戰爭	Guerres sino-japonaises
平面幾何	Géométrie euclidienne
葉問	Yip Man
基數	Nombre cardinal
二元運算	Opération binaire
餘弦定理	Loi des cosinus
新幹線	Shinkansen
雙曲線	Hyperbole (mathématiques)
星際爭霸	StarCraft
反射	Réflexion (physique)
嘉義縣	Comté de Chiayi
形意拳	Xingyi quan
近視	Myopie
代數數	Nombre algébrique
夏后氏	Dynastie Xia
連續	Continuité (mathématiques)
教廷諸屬國	États pontificaux
濟南市	Jinan
十一月革命	Révolution allemande de 1918-1919
中國抗日戰爭	Guerre sino-japonaise (1937-1945)
青島市	Qingdao
PSP	PlayStation Portable
葛利斯五八一丙	Gliese 581 c
官能團	Groupe fonctionnel
世氣公會	Organisation météorologique mondiale
見即所得	What you see is what you get
新西班牙代王領	Nouvelle-Espagne
織田信長	Oda Nobunaga
向日葵	Tournesol
南昌市	Nanchang
中壢區	Chungli
玫瑰之名	Le Nom de la rose (roman)
幾何原本	Éléments d'Euclide
米高·哥連斯	Michael Collins (homme politique)
金本位	Étalon-or
直積	Produit cartésien
艾狄胥	Paul Erdős
四元數	Quaternion
長沙市	Changsha
有機化合物	Composé organique
明治天皇	Meiji (empereur)
源實朝	Minamoto no Sanetomo
蜉蝣	Ephemeroptera
伊藤博文	Itō Hirobumi
絞刑	Pendaison
門:史	Portail:Histoire
電極	Électrode
阿拉伯數字	Chiffres arabes
股骨	Fémur
子集	Inclusion (mathématiques)
海東青	Faucon gerfaut
日文維基大典	Wikipédia en japonais
繁體字	Sinogramme traditionnel
甲午戰爭	Guerre sino-japonaise (1894-1895)
哈丹格爾小提琴	Violon Hardanger
克里希那穆提	Jiddu Krishnamurti
宦官	Eunuque
選擇公理	Axiome du choix
行星環	Anneau planétaire
青藏高原	Plateau tibétain
拓撲空間	Espace topologique
古文書	Paléographie
數學符表	Table des symboles mathématiques
錫克金廟	Temple d'Or
查良鏞	Jin Yong
卡奔塔利亞灣	Golfe de Carpentarie
度量空間	Espace métrique
千分比	Pour mille
交換群	Groupe abélien
高雄市	Kaohsiung
華盛頓歐文	Washington Irving
易經	Yi Jing
弩	Arbalète (arme)
渤海	Mer de Bohai
甑帶瘡	Zona
西楚霸王	Xiang Yu
戰艦	Cuirassé
人魚	Sirène
海倫公式	Formule de Héron
昆明市	Kunming
天氣預報	Prévision météorologique
人蔘	Ginseng
回族	Hui (ethnie)
蘭州市	Lanzhou
期貨	Contrat à terme
鰂	Sepiida
林則徐	Lin Zexu
三國	Trois Royaumes de Chine
春秋時代	Période des Printemps et Automnes
戰國	Période des Royaumes combattants
名偵探柯南	Détective Conan
區間	Intervalle (mathématiques)
清宣統帝	Puyi
併集	Union (mathématiques)
簡化字	Sinogramme simplifié
合肥市	Hefei
交集	Intersection (mathématiques)
啓	Qi (empereur)
簡歷	Curriculum vitæ
蝴蝶效應	Effet papillon
豐臣秀吉	Toyotomi Hideyoshi
假名	Kana
民律大全	Corpus iuris civilis
白鱀豚	Dauphin de Chine
平昌郡	District de Pyeongchang
泰國國際航空	Thai Airways International
北九州市	Kitakyūshū
匈奴	Xiongnu
孟子	Mencius
曾國藩	Zeng Guofan
桂林市	Guilin
海口市	Haikou
無機化合物	Composé inorganique
域 (代數)	Corps commutatif
海拔	Altitude
挪威廣播公司	Norsk rikskringkasting
中原	Plaine centrale (Chine)
道	Tao
世界語維基大典	Wikipédia en espéranto
刺身	Sashimi
高錳酸鉀	Permanganate de potassium
鴉片戰爭	Première guerre de l'opium
魔鬼之詩篇	Les Versets sataniques
有序對	Couple (mathématiques)
金屬鍵	Liaison métallique
書面挪威語維基大典	Wikipédia en norvégien
序數	Nombre ordinal
南京大屠殺	Massacre de Nankin
吳廷琰	Ngô Đình Diệm
複式記帳	Comptabilité en partie double
麵	Nouille
路易斯安那購地案	Vente de la Louisiane
扇	Éventail
平安時代	Époque de Heian
旦	Lever de soleil
韓信點兵	Théorème des restes chinois
梅涅勞斯定理	Théorème de Ménélaüs
無窮小	Infiniment petit
屏東縣	Comté de Pingtung
彰化市	Changhua
單鏡筒反光相機	Appareil photographique reflex mono-objectif
雙城子	Oussouriisk
章炳麟	Zhang Binglin
張飛	Zhang Fei
張郃	Zhang He
張紘	Zhang Hong
張角	Zhang Jiao
張衡	Zhang Heng
張居正	Zhang Juzheng
憲法十七條	Constitution en 17 articles
張遼	Zhang Liao
張騫	Zhang Qian
張三丰	Zhang Sanfeng
張載	Zhang Zai
趙	Zhao
趙雲	Zhao Yun
浙江大學	Université de Zhejiang
鄭成功	Koxinga
鎮海區	District de Zhenhai
中和區	Chungho
周泰	Zhou Tai
周瑜	Zhou Yu
周作人	Zhou Zuoren
帝顓頊	Zhuanxu
諸葛瑾	Zhuge Jin
諸葛恪	Zhuge Ke
諸葛亮	Zhuge Liang
慶良間群島	Archipel Kerama
壯學	Zhuangologie
烏克蘭語維基大典	Wikipédia en ukrainien
阿拉伯文維基大典	Wikipédia en arabe
金孟加拉	Amar Shonar Bangla
希伯來文維基大典	Wikipédia en hébreu
洞里薩湖	Tonlé Sap
賈姆謝德布爾	Jamshedpur
越南文維基大典	Wikipédia en vietnamien
負數	Nombre négatif
中醫	Médecine traditionnelle chinoise
高松市	Takamatsu
中華人民共和國憲法	Constitution de la République populaire de Chine
王粲	Wang Can
提格兰二世	Tigrane II d'Arménie
珠江	Rivière des Perles
泰西格致史	Histoire des sciences
五帝	Les trois Augustes et les cinq Empereurs
瑪格麗特一世	Marguerite Ire de Danemark
日本國會	Diète du Japon
先哥倫布	Civilisation précolombienne
英聯邦王國	Royaume du Commonwealth
彼得一世島	Île Pierre Ier
墓碑	Pierre tombale
十二銅表法	Loi des Douze Tables
李商隱	Li Shangyin
漢魏武王	Cao Cao
連江縣	Xian de Lianjiang
斬首	Décapitation
垂直	Perpendicularité
無窮集合	Ensemble infini
冪集	Ensemble des parties d'un ensemble
魚鉤	Hameçon
齊齊哈爾市	Qiqihar
椰蟹	Crabe de cocotier
俄文維基大典	Wikipédia en russe
平行公理	Axiome des parallèles
資治通鑒	Zizhi Tongjian
春武里府	Province de Chonburi
西線無戰事	À l'Ouest, rien de nouveau
嘧啶	Pyrimidine
泰王國歌	Phleng Chat
中國中央電視臺	Télévision centrale de Chine
圖蘭朵	Turandot
巴列維王朝	Dynastie Pahlavi
天皇	Empereur du Japon
熱帶雨林氣候	Climat équatorial
袁世凱	Yuan Shikai
北海市	Beihai (Guangxi)
袋鼠島	Île Kangourou
阮世祖	Gia Long
君士坦丁堡普世宗主教區	Patriarcat œcuménique de Constantinople
辛普生沙漠	Désert de Simpson
雷曼兄弟公司	Lehman Brothers
娜塔莎·北鼎斐	Natasha Bedingfield
開集	Ouvert (topologie)
測地線	Géodésique
塞瓦定理	Théorème de Ceva
健陀羅	Gandhara
愛爾蘭共和國總統	Président d'Irlande
內積空間	Espace préhilbertien
金奎植	Kim Kyu-Sik
金九	Kim Koo
泰山	Mont Tai
荀況	Xun Zi
九江市	Jiujiang
反氫	Antihydrogène
占婆	Royaume de Champā
倒數	Inverse
黃道兇賊	Tueur du Zodiaque
陰陽五行	Wuxing (cosmologie)
夫妻	Couple (droit et sociologie)
盧溝橋事變	Incident du pont Marco Polo
關羽	Guan Yu
龜	Tortue
阮福晪	Bảo Đại
元 (釋義)	Yuan (homonymie)
空集	Ensemble vide
祖沖之	Zu Chongzhi
羅馬 (釋義)	Roma
左氏春秋	Zuo Zhuan
連通	Graphe connexe
瀨戶內海	Mer intérieure de Seto
自由民主黨	Parti libéral-démocrate (Japon)
環	Loop
利瑪竇	Matteo Ricci
原富	Recherches sur la nature et les causes de la richesse des nations
技術分析	Analyse technique
哆啦A夢	Doraemon
宋卡府	Province de Songkhla
甲米府	Province de Krabi
拉廊府	Province de Ranong
伏羲	Fuxi
宜蘭縣	Comté de Yilan
法家	Légisme
九龍	Kowloon
瑪麗·安·尼科爾斯	Mary Ann Nichols
素叻府	Province de Surat Thani
成本	Coût
桐艾府	Province de Trat
五代	Période des Cinq Dynasties et des Dix Royaumes
瑪麗·簡·凱利	Mary Jane Kelly
森理世	Riyo Mori
補集	Complémentaire (théorie des ensembles)
靖國神社	Yasukuni-jinja
博他侖府	Province de Phattalung
鹽田	Marais salant
班武里府	Province de Prachuap Khiri Khan
洛坤府	Province de Nakhon Si Thammarat
春蓬府	Province de Chumpon
新北市	Nouveau Taipei
臺中市	Taichung
漢昭烈皇帝	Liu Bei
干支	Cycle sexagésimal chinois
三國志	Chroniques des Trois Royaumes
邁克學搖滾	Michael Learns to Rock
花蓮縣	Comté d'Hualien
金門縣	Jinmen
臺東縣	Comté de Taitung
新竹市	Hsinchu
嘉義市	Chiayi
基隆市	Keelung
副省級市	Ville sous-provinciale
從眾	Argumentum ad populum
牢不可破之聯盟	Hymne de l'Union soviétique
相似	Similitude (géométrie)
年號	Nianhao
大韓高宗	Kojong
語序	Typologie syntaxique des langues
摩托羅拉	Motorola
丁汝昌	Ding Ruchang
賢哲賽義巴巴	Shirdi Sai Baba
雪景球	Boule à neige
淨土宗	Terre pure
伊麗莎白·史泰德	Elizabeth Stride
安妮·查普曼	Annie Chapman
聖德太子	Shōtoku (prince)
沈括	Shen Kuo
內湖區	District de Neihu
貴金屬	Métal précieux
懿德天皇	Itoku
史記	Shiji
早稻田大學	Université Waseda
孫吳	Royaume de Wu
論語	Entretiens de Confucius
姜維	Jiang Wei
尚眞王	Shō Shin
平清盛	Taira no Kiyomori
創意公用授權條款	Licence Creative Commons
柬埔寨國家銀行	Banque nationale du Cambodge
澳洲聯邦銀行	Commonwealth Bank
海寧市	Haining
拉臘·杜塔	Lara Dutta
小野田寬郎	Hirō Onoda
清太宗	Huang Taiji
漢高皇后	Lü Zhi
楊貴妃	Yang Guifei
蔡琰	Cai Wenji
推古天皇	Suiko
漢孝成班婕妤	Ban Jieyu
清德宗	Guangxu
文徵明	Wen Zhengming
鎖國	Isolationnisme
戈登	Charles Gordon
清世祖	Shunzhi
清太祖	Nurhachi
進數	Nombre p-adique
卡拉卡拉敕令	Édit de Caracalla
明智光秀	Akechi Mitsuhide
綏靖天皇	Suizei
阮攸	Nguyễn Du
白居易	Bai Juyi
吳大帝	Sun Quan
屈原	Qu Yuan
魏世祖文皇帝	Cao Pi
神農	Shennong
小淵惠三	Keizō Obuchi
帝舜	Shun (empereur)
安寧天皇	Annei
發勃耳	Jean-Henri Fabre
張國榮	Leslie Cheung
蔣經國	Chiang Ching-kuo
王維	Wang Wei
後醍醐天皇	Go-Daigo
陶潛	Tao Yuanming
桓武天皇	Kanmu
林彪	Lin Biao
清世宗	Yongzheng
呂布	Lü Bu
鴨脷洲	Ap Lei Chau
清穆宗	Tongzhi
韓愈	Han Yu
王安石	Wang Anshi
德川吉宗	Tokugawa Yoshimune
米芾	Mi Fu
拓撲閉包	Adhérence (mathématiques)
閉集	Fermé (topologie)
曹魏	Royaume de Wei
作格	Ergatif
尖竹汶府	Province de Chanthaburi
陳省身	Shiing-Shen Chern
第十五屆亞洲運動會	Jeux asiatiques de 2006
基斯孔哈拉斯	Kiskunhalas
覆蓋	Recouvrement (mathématiques)
竭澤而漁	Surpêche
廢藩置縣	Abolition du système han
通格	Absolutif
清仁宗	Jiaqing
正親町天皇	Ōgimachi
董卓	Dong Zhuo
林語堂	Lin Yutang
孫臏	Sun Bin
杜牧	Du Mu
孫堅	Sun Jian
石田三成	Ishida Mitsunari
大韓純宗	Sunjong
婆羅多舞	Bharata natyam
朝鮮世祖	Sejo
歐陽脩	Ouyang Xiu
清宣宗	Daoguang
岳飛	Yue Fei
清文宗	Xianfeng
北柳府	Province de Chachoengsao
羅勇府	Province de Rayong
袁紹	Yuan Shao
柳宗元	Liu Zongyuan
包拯	Bao Zheng
新店區	Xindian
阮景宗	Đồng Khánh
司馬懿	Sima Yi
福澤諭吉	Fukuzawa Yukichi
安慶市	Anqing
安祿山	An Lushan
六安市	Lu'an
呂不韋	Lü Buwei
武丁	Wu Ding
陳獨秀	Chen Duxiu
蒂邁歐篇	Timée (Platon)
土城區	Tucheng
魏 (釋義)	Wei
魏徵	Wei Zheng
藤原定家	Fujiwara no Teika
夏侯惇	Xiahou Dun
曹仁	Cao Ren
坂本龍馬	Sakamoto Ryōma
王守仁	Wang Yangming
魏烈祖明皇帝	Cao Rui
朝鮮太祖	Taejo
陸遜	Lu Xun (Trois Royaumes)
東明聖王	Jumong
夏侯淵	Xiahou Yuan
李鴻章	Li Hongzhang
南唐後主	Li Yu (937-978)
魏延	Wei Yan
黃忠	Huang Zhong
顧愷之	Gu Kaizhi
王羲之	Wang Xizhi
康托爾悖論	Paradoxe de Cantor
中秋	Fête de la mi-automne
李珥	Yi I
光中帝	Nguyễn Huệ
梁啟超	Liang Qichao
尹鑴	Yun Hyu
霍去病	Huo Qubing
孫策	Sun Ce
范仲淹	Fan Zhongyan
墓	Tombeau (architecture)
沙繳府	Province de Sa Kaeo
緊集	Compacité (mathématiques)
依善	Isan
龐統	Pang Tong
冒頓單于	Modu
高順	Gao Shun
海上花	Les Fleurs de Shanghai
成都雙流國際機場	Aéroport international de Chengdu-Shuangliu
世說新語	Anecdotes contemporaines et nouveaux propos
發翔羽	Penne (ornithologie)
赤腹蠑螈	Cynops pyrrhogaster
南陽市	Nanyang (Henan)
秋葉原	Akihabara
徐光啟	Xu Guangqi
虹吸	Siphon (tuyau)
南充市	Nanchong
北條時宗	Hōjō Tokimune
藤原道長	Fujiwara no Michinaga
阮聖祖	Minh Mạng
戚繼光	Qi Jiguang
董仲舒	Dong Zhongshu
阮出帝	Hàm Nghi
托勒密定理	Théorème de Ptolémée
丸龜市	Marugame
鄧麗君	Teresa Teng
北條政子	Hōjō Masako
李清照	Li Qingzhao
明成皇后	Impératrice Myeongseong
殷墟	Yin Xu
阮福昭	Thành Thái
夏帝履癸	Jie Gui
詩經	Classique des vers
阮福晃	Duy Tân
秋瑾	Qiu Jin
阮簡宗	Kiến Phúc
阮福昇	Hiệp Hoà
自斷	Autotomie
足利義量	Ashikaga Yoshikazu
戈公省	Province de Kaoh Kong
效用	Utilité
阮翼宗	Tự Đức
大月氏	Yuezhi
吳三桂	Wu Sangui
甘寧	Gan Ning
元稹	Yuan Zhen
嵇康	Xi Kang
陳納德	Claire Lee Chennault
于禁	Yu Jin
典韋	Dian Wei
龐德	Pang De
馬超	Ma Chao
周公旦	Duc de Zhou
太史慈	Taishi Ci
阮弘宗	Khải Định
徐晃	Xu Huang
吳景帝	Sun Xiu
淩統	Ling Tong
漢後主	Liu Shan
陳壽	Chen Shou
山口二矢	Otoya Yamaguchi
興宣獻懿大院君	Daewongun
吳末帝	Sun Hao
吳會稽王亮	Sun Liang
商帝辛	Di Xin
呂蒙	Lü Meng
潘清簡	Phan Thanh Giản
齊桓公	Qi Huan Gong
劉表	Liu Biao
商湯	Cheng Tang
噌汁	Soupe miso
樂進	Yue Jin
偏序	Poset
康托爾定理	Théorème de Cantor
新山一國際機場	Aéroport international de Tân Sơn Nhất
晁衡	Abe no Nakamaro
安重根	An Jung-geun
和服	Kimono
遜尼派	Sunnisme
朝鮮宣祖	Seonjo
朝鮮孝宗	Hyojong
白翎島	Baengnyeong
汝矣島純福音教會	Église évangélique de Yoido
哥德巴赫猜想	Conjecture de Goldbach
韓國銀行	Banque de Corée
三國遺事	Samguk Yusa
坤輿萬國全圖	Kunyu Wanguo Quantu
三國史記	Samguk Sagi
國家情報院	National Intelligence Service
鬱陵郡	District de Ulleung
朝鮮漢字	Hanja
尹元衡	Yun Won-hyung
李埈鎔	Prince Youngsun
趙光祖	Jo Gwang-jo
李滉	Yi Hwang
國會議員	Member of Parliament
崔致遠	Choi Chi-won
摩爾體積	Volume molaire
丙子胡亂	Seconde invasion Mandchoue de la Corée
丁卯胡亂	Première invasion Mandchoue de la Corée
傲遊瀏覽器	Maxthon
矢圖	Carquois (théorie des catégories)
復旦大學	Université Fudan
可居島	Gageodo
馬羅島	Marado
韓國國際廣播電臺	KBS World Radio
朝鮮王朝實錄	Annales de la dynastie Joseon
萌	Moe (Japon)
廣開土王	Kwanggaet'o Wang
韓國放送公社	Korean Broadcasting System
涼宮春日系列	La Mélancolie de Haruhi Suzumiya
莎阿南	Shah Alam
玉山	Yu Shan
大嶼山	Île de Lantau
楚	Chu (État)
梅爾維爾島	Île Melville (Australie)
新	Dynastie Xin
北太平洋露脊鯨	Baleine franche du Pacifique Nord
海北藏族自治州	Préfecture autonome tibétaine de Haibei
蒼龍	Dragon azur
鶯歌區	Yingge
中庸	Zhong Yong
西單民主牆	Mur de la démocratie
中國禮儀之爭	Querelle des rites
鳳凰	Fenghuang
宋教仁	Song Jiaoren
阮恭宗	Dục Đức
中正紀念堂	Mémorial Tchang Kaï-chek
阮憲祖	Thiệu Trị
吳清源	Go Seigen
塔如濤群島	Parc marin national de Tarutao
真言宗	Shingon
初音未來	Hatsune Miku
餛飩	Wonton
秦非子	Feizi
星期四島	Île Thursday
教會羅馬字	Pe̍h-ōe-jī
滿寵	Man Chong
超濾法	Ultrafiltration
賈詡	Jia Xu
曹真	Cao Zhen
馬騰	Ma Teng
黃蓋	Huang Gai
許慎	Xu Shen
孔融	Kong Rong
許褚	Xu Chu
司馬相如	Sima Xiangru
魯肅	Lu Su
吉田松陰	Yoshida Shōin
錢鍾書	Qian Zhongshu
嚴復	Yan Fu
沈約	Shen Yue
帕覺柯	José Emilio Pacheco
泰文維基大典	Wikipédia en thaï
猫眼林克	Link (The Legend of Zelda)
蘇通長江大橋	Pont de Sutong
尼奧寵物	Neopets
包頭市	Baotou
板橋區	Panchiao
大化革新	Réforme de Taika
平溪區	Pingxi
瑞芳區	Ruifang
三重區	Sanchong
三峽區	Sanxia
樹林區	Shulin
永和區	Yonghe
楊維楨	Yang Weizhen
文天祥	Wen Tianxiang
壬辰倭亂	Guerre Imjin
魏鄧哀王	Cao Chong
小行星三千	(3000) Leonardo
軍曹	Sergent Keroro
出雲國	Province d'Izumo
太平御覽	Taiping Yulan
原口證	Akira Haraguchi
花崗岩島	Granite Island
新界	Nouveaux Territoires
武漢天河國際機場	Aéroport international de Wuhan Tianhe
三字經	Classique des Trois Caractères
香港浸會大學	Université baptiste de Hong Kong
八桂學派	École d'Bagui
午餐肉	SPAM
草書	Écriture cursive chinoise
呂底亞	Lydie
自焚	Auto-immolation
廬山	Mont Lu
老撾之歌	Pheng Xat Lao
謝靈運	Xie Lingyun
夏禹	Yu le Grand
藤原氏	Clan Fujiwara
漢 (釋義)	Han
衡山	Mont Heng (Hunan)
杭思朗	Armstrong
馬步芳	Ma Bufang
香港語言學學會粵語拼音方案	Jyutping
刀	Dao (arme)
水龍頭	Robinet (plomberie)
沈葆楨	Shen Baozhen
子拓撲	Topologie induite
廣州地鐵	Métro de Canton
車裂	Écartèlement
嘉定區	District de Jiading
金山區	District de Jinshan
泰國小姐	Miss Thaïlande
性染色體	Gonosome
算術基本定理	Théorème fondamental de l'arithmétique
存活期	Time to Live
稠密	Densité (mathématiques)
崑曲	Kunqu
流亡政府	Gouvernement en exil
古魯特島	Groote Eylandt
中文數字	Numération chinoise
天主教輔仁大學	Université catholique Fu-Jen
武器貿易條約	Traité sur le commerce des armes
Habanera	L'amour est un oiseau rebelle
內田蝲蛄	Pacifastacus leniusculus
龜船	Bateau tortue
永樂大典	Encyclopédie de Yongle
諡	Nom posthume
陽明學	Yangmingisme
大東諸島	Archipel Daitō
佟麟閣	Tong Linge
曹休	Cao Xiu
中央廣播電臺	Radio Taiwan International
魏陳思王	Cao Zhi
吳起	Wu Qi
周文王	Wen Wang
恆春丙戌地震	Séisme de 2006 à Hengchun
李時珍	Li Shizhen
東沙	Îles Pratas
杜月笙	Du Yuesheng
張勳	Zhang Xun
曹爽	Cao Shuang
朝鮮八道	Huit provinces de Corée
陳勝	Chen Sheng
曹彰	Cao Zhang
杭州灣	Baie de Hangzhou
和珅	Heshen
南管	Nanyin
王昭君	Wang Zhaojun
韓服	Hanbok
曹純	Cao Chun
衛青	Wei Qing
衛滿	Wiman
杜如晦	Du Ruhui
聶榮臻	Nie Rongzhen
張靈甫	Zhang Lingfu
齊太公	Jiang Ziya
陳武	Chen Wu
唐景崧	Tang Jingsong
朝香鳩彥	Yasuhiko Asaka
劉伯承	Liu Bocheng
韓當	Han Dang
臭豆腐	Tofu puant
魏忠賢	Wei Zhongxian
蒼南縣	Xian de Cangnan
王昌齡	Wang Changling
李陵	Li Ling (général)
李仁宗	Lý Nhân Tông
段祺瑞	Duan Qirui
中國醫藥大學	Université médicale chinoise (Taïwan)
臺灣高速鐵路	Ligne à grande vitesse de Taïwan
臺灣問題	Statut de Taïwan
